,DataSetName,SiteName,SiteCode,SiteId,Latitude,Longitude,DATUM,PEARSEDA,SiteType
35,Lab2020eDNA,St. Mary's River,SMR,SMR20-1-N, , ,,,
36,Lab2020eDNA,Forteau,FOR,FOR20-1-C,51.50218796,-56.95288603,,,
37,Lab2020eDNA,Forteau,FOR,FOR20-1-R,51.50221797,-56.95278796,,,
38,Lab2020eDNA,Forteau,FOR,FOR20-1-N, , ,,,
39,Lab2020eDNA,Forteau,FOR,FOR20-1-L,51.50212099,-56.95287396,,,
40,Lab2020eDNA,L'Anse Au Loup (Dam),LLD,LLD20-1-C,51.545267,-56.85797003,,,
41,Lab2020eDNA,L'Anse Au Loup (Dam),LLD,LLD20-1-R,51.545353,-56.85791697,,,
42,Lab2020eDNA,L'Anse Au Loup (Dam),LLD,LLD20-1-N, , ,,,
43,Lab2020eDNA,L'Anse Au Loup (Dam),LLD,LLD20-1-L,51.54531604,-56.85794002,,,
44,Lab2020eDNA,L'Anse Au Loup,LAL,LAL20-2-C,51.54534403,-56.85492598,,,
45,Lab2020eDNA,L'Anse Au Loup,LAL,LAL20-2-R,51.54527698,-56.85493201,,,
46,Lab2020eDNA,L'Anse Au Loup,LAL,LAL20-2-N, , ,,,
47,Lab2020eDNA,L'Anse Au Loup,LAL,LAL20-2-L,51.54542902,-56.85503804,,,
48,Lab2020eDNA,Pinware River Tributary,PRT,PRT20-1-C,,,,,
49,Lab2020eDNA,Pinware River Tributary,PRT,PRT20-1-R,,,,,
50,Lab2020eDNA,Pinware River Tributary,PRT,PRT20-1-N,,,,,
51,Lab2020eDNA,Pinware River Tributary,PRT,PRT20-1-L,,,,,
52,Lab2020eDNA,L'anse Amour,LAA,LAA20-1-C,51.47627899,-56.87228699,,,
53,Lab2020eDNA,L'anse Amour,LAA,LAA20-1-R,51.47625301,-56.87226201,,,
54,Lab2020eDNA,L'anse Amour,LAA,LAA20-1-N, , ,,,
55,Lab2020eDNA,L'anse Amour,LAA,LAA20-1-L,51.47630397,-56.87197401,,,
56,Lab2020eDNA,Small creek before town of pinware,PCC,PCC20-1-C,,,,,
57,Lab2020eDNA,Small creek before town of pinware,PCC,PCC20-1-R,51.620423,-56.71845099,,,
58,Lab2020eDNA,Parker's River,PBP,PBP20-1-N, , ,,,
59,Lab2020eDNA,Parker's River,PBP,PBP20-1-L,51.49701398,-55.73154702,,,
60,Lab2020eDNA,Parker's River,PBP,PBP20-1-C,51.49701398,-55.73166504,,,
61,Lab2020eDNA,Parker's River,PBP,PBP20-1-R,51.49692002,-55.73159999,,,
62,Lab2020eDNA,Outardes River,OUR,OUR20-1-N, , ,,,
63,Lab2020eDNA,Outardes River,OUR,OUR20-1-L,51.48497304,-55.62204097,,,
64,Lab2020eDNA,Outardes River,OUR,OUR20-1-C,51.48498503,-55.62204097,,,
65,Lab2020eDNA,Outardes River,OUR,OUR20-1-R,51.48497304,-55.62204097,,,
66,Lab2020eDNA,Northwest Brook by Roddickton,NOR,NOR20-1-N, , ,,,
67,Lab2020eDNA,Northwest Brook by Roddickton,NOR,NOR20-1-L,50.92449998,-56.11226203,,,
68,Lab2020eDNA,Northwest Brook by Roddickton,NOR,NOR20-1-C,50.92443402,-56.11223403,,,
69,Lab2020eDNA,Northwest Brook by Roddickton,NOR,NOR20-1-R,50.92445699,-56.11213203,,,
70,Lab2020eDNA,Rose's Brook,ROB,ROB20-1-N, , ,,,
71,Lab2020eDNA,Rose's Brook,ROB,ROB20-1-L,51.094689,-56.06777902,,,
72,Lab2020eDNA,Rose's Brook,ROB,ROB20-1-C,51.09475002,-56.06770702,,,
73,Lab2020eDNA,Rose's Brook,ROB,ROB20-1-R,51.09471397,-56.06786904,,,
74,Lab2020eDNA,Pinsent's River,PIR,PIR20-1-N, , ,,,
75,Lab2020eDNA,Pinsent's River,PIR,PIR20-1-L,51.49117104,-55.873414,,,
76,Lab2020eDNA,Pinsent's River,PIR,PIR20-1-C,51.49117104,-55.873414,,,
77,Lab2020eDNA,Pinsent's River,PIR,PIR20-1-R,51.49116199,-55.873414,,,
78,Lab2020eDNA,Green Island Brook,GIB,GIB20-1-N, , ,,,
79,Lab2020eDNA,Green Island Brook,GIB,GIB20-1-L,51.39533403,-56.529369,,,
80,Lab2020eDNA,Green Island Brook,GIB,GIB20-1-C,51.39551098,-56.52965399,,,
81,Lab2020eDNA,Green Island Brook,GIB,GIB20-1-R,51.39541701,-56.52949297,,,
82,Lab2020eDNA,Genevieve River,SGR,SGR20-1-N, , ,,,
83,Lab2020eDNA,Genevieve River,SGR,SGR20-1-L,51.137506,-56.795841,,,
84,Lab2020eDNA,Genevieve River,SGR,SGR20-1-C,,,,,
85,Lab2020eDNA,Genevieve River,SGR,SGR20-1-R,,,,,
86,WaterQualityNL,"PORTLAND CREEK AT BRIDGE, ROUTE 430",,NF02YE0004,50.1817,-57.6036,NAD83,NEWFOUNDLAND–LABRADOR,RIVER
87,WaterQualityNL,"WESTERN BROOK AT BRIDGE, ROUTE 430",,NF02YE0005,49.8303,-57.8564,NAD83,NEWFOUNDLAND–LABRADOR,RIVER
88,WaterQualityNL,"MAIN RIVER AT BRIDGE, ROUTE 420",,NF02YG0001,49.7694,-56.9042,NAD83,NEWFOUNDLAND–LABRADOR,RIVER
89,WaterQualityNL,EAGLE MOUNTAIN ROCK,,NF02YG0020,49.8315,-57.2868,NAD83,NEWFOUNDLAND–LABRADOR,RIVER
90,WaterQualityNL,UNNAMED LAKE 3.5 KM SOUTH-SOUTH-EAST OF TEN MILE POND,,NF02YH0013,49.5967,-57.7333,NAD83,NEWFOUNDLAND–LABRADOR,LAKE
91,WaterQualityNL,UNNAMED LAKE 3.8 KM NORTH-NORTH-EAST OF BADWEATHER POND,,NF02YH0014,49.4372,-57.5317,NAD83,NEWFOUNDLAND–LABRADOR,LAKE
92,WaterQualityNL,"UNNAMED POND, 6 KM NORTH-EAST OF BAD WEATHER POND",,NF02YH0015,49.4608,-57.525,NAD83,NEWFOUNDLAND–LABRADOR,POND
93,WaterQualityNL,"LOMOND RIVER AT BRIDGE, ROUTE 431",,NF02YH0018,49.4019,-57.7303,NAD83,NEWFOUNDLAND–LABRADOR,RIVER
94,WaterQualityNL,UNNAMED LAKE 1.5 KM EAST OF HARDING POND,,NF02YH0025,49.5622,-57.7264,NAD83,NEWFOUNDLAND–LABRADOR,LAKE
95,WaterQualityNL,"UNNAMED POND, 3 KM NORTH-EAST OF KILLDEVIL HILL",,NF02YH0026,49.5236,-57.7111,NAD83,NEWFOUNDLAND–LABRADOR,POND
96,WaterQualityNL,PINCHGUT BROOK AT BRIDGE OF TRANSCANADIAN HIGHWAY,,NF02YJ0004,48.7975,-58.0619,NAD83,NEWFOUNDLAND–LABRADOR,RIVER
97,WaterQualityNL,"HUMBER CANAL, TOP AU MAIN DAM ROAD",,NF02YK0022,49.1661,-57.4156,NAD83,NEWFOUNDLAND–LABRADOR,RIVER
98,WaterQualityNL,HUMBER RIVER AT LITTLE FALLS BRIDGE,,NF02YL0011,49.3483,-57.2353,NAD83,NEWFOUNDLAND–LABRADOR,RIVER
99,WaterQualityNL,HUMBER RIVER AT HUMBER VILLAGE BRIDGE,,NF02YL0012,48.9836,-57.7611,NAD83,NEWFOUNDLAND–LABRADOR,RIVER
100,WaterQualityNL,"CORNER BROOK AT BRIDGE, O'CONNELL DRIVE",,NF02YL0013,48.9444,-57.9367,NAD83,NEWFOUNDLAND–LABRADOR,RIVER
101,WaterQualityNL,"WILD COVE BROOK, AT CULVERT ROUTE 440",,NF02YL0029,48.9744,-57.8839,NAD83,NEWFOUNDLAND–LABRADOR,RIVER
102,WaterQualityNL,WILD COVE BROOK 1.7 KM UPSTREAM OF ROUTE 440,,NF02YL0035,48.9778,-57.8664,NAD83,NEWFOUNDLAND–LABRADOR,RIVER
103,WaterQualityNL,SOUTH BROOK AT PASADENA BEACH,,NF02YL0106,49.021229999999996,-57.61176999999999,WGS84,NEWFOUNDLAND–LABRADOR,RIVER
104,WaterQualityNL,"LLOYDS RIVER AT BRIDGE, ROUTE 480, BURGEO ROAD",,NF02YN0001,48.3044,-57.7186,NAD83,NEWFOUNDLAND–LABRADOR,RIVER
105,WaterQualityNL,PETER STRIDES LAKE AT ROUTE 480,,NF02YN0043,48.1536,-57.7233,NAD83,NEWFOUNDLAND–LABRADOR,LAKE
106,WaterQualityNL,EXPLOITS RIVER AT GRAND FALLS,,NF02YO0001,48.9306,-55.6669,NAD83,NEWFOUNDLAND–LABRADOR,RIVER
107,WaterQualityNL,EXPLOITS RIVER AT WESTERN EDGE OF GRAVEL PIT,,NF02YO0020,48.9492,-55.9156,NAD83,NEWFOUNDLAND–LABRADOR,RIVER
108,WaterQualityNL,EXPLOITS RIVER APPROXIMATELY 0.5 KM DOWNSTREAM FROM DAM,,NF02YO0107,48.7594,-56.5919,NAD83,NEWFOUNDLAND–LABRADOR,RIVER
109,WaterQualityNL,"EXPLOITS RIVER, BELOW GRAND FALLS",,NF02YO0128,48.9367,-55.6181,NAD83,NEWFOUNDLAND–LABRADOR,RIVER
110,WaterQualityNL,CORDUROY BROOK IN GRAND FALLS,,NF02YO0142,48.9392,-55.6631,NAD83,NEWFOUNDLAND–LABRADOR,RIVER
111,WaterQualityNL,EXPLOITS RIVER AT TRANSCANADIAN HIGHWAY (SIR ROBERT BOND BRIDGE),,NF02YO0143,49.0231,-55.4481,NAD83,NEWFOUNDLAND–LABRADOR,RIVER
112,WaterQualityNL,GANDER RIVER BELOW GANDER LAKE AT APPLETON,,NF02YQ0030,48.9944,-54.8675,NAD83,NEWFOUNDLAND–LABRADOR,RIVER
113,WaterQualityNL,CARELESS COVE BROOK AT RESOURCE ROAD STEEL BRIDGE,,NF02YQ0072,48.902111,-54.993917,NAD83,NEWFOUNDLAND–LABRADOR,RIVER
114,WaterQualityNL,TERRA NOVA RIVER FROM RAILWAY BRIDGE,,NF02YS0001,48.5075,-54.2117,NAD83,NEWFOUNDLAND–LABRADOR,RIVER
115,WaterQualityNL,"RATTLE POND, TERRA NOVA NATIONAL PARK",,NF02YS0003,48.5136,-53.8244,NAD83,NEWFOUNDLAND–LABRADOR,LAKE
116,WaterQualityNL,TERRA NOVA RIVER DOWNSTREAM FROM E.S. SPENCER BRIDGE,,NF02YS0011,48.6406,-54.0361,NAD83,NEWFOUNDLAND–LABRADOR,RIVER
117,WaterQualityNL,"NAMELESS POND  NO. 2, NEAR SOUTH BROAD COVE",,NF02YS0016,48.5497,-53.8497,NAD83,NEWFOUNDLAND–LABRADOR,LAKE
118,WaterQualityNL,"PINE HILL POND, TERRA NOVA NATIONAL PARK",,NF02YS0020,48.6042,-53.9775,WGS84,NEWFOUNDLAND–LABRADOR,LAKE
119,WaterQualityNL,"BOG POND, TERRA NOVA NATIONAL PARK",,NF02YS0021,48.4942,-54.1331,NAD83,NEWFOUNDLAND–LABRADOR,LAKE
120,WaterQualityNL,"LONG WATERS (SOUTH), TERRA NOVA NATIONAL PARK",,NF02YS0029,48.4581,-54.0556,NAD83,NEWFOUNDLAND–LABRADOR,LAKE
121,WaterQualityNL,"JAY POND, TERRA NOVA NATIONAL PARK",,NF02YS0045,48.6367,-53.8842,NAD83,NEWFOUNDLAND–LABRADOR,LAKE
122,WaterQualityNL,"MOSES COVE POND, TERRA NOVA NATIONAL PARK",,NF02YS0048,48.5967,-53.7544,WGS84,NEWFOUNDLAND–LABRADOR,LAKE
123,WaterQualityNL,"SHALLOW POND NO. 3, TERRA NOVA NATIONAL PARK",,NF02YS0065,48.5042,-53.825,NAD83,NEWFOUNDLAND–LABRADOR,LAKE
124,WaterQualityNL,"OCHRE HILL PONDS (NORTH), TERRA NOVA NATIONAL PARK",,NF02YS0069,48.5025,-53.9639,NAD83,NEWFOUNDLAND–LABRADOR,LAKE
125,WaterQualityNL,"CHATMAN PONDS WEST , TERRA NOVA NATIONAL PARK",,NF02YS0070,48.4942,-53.9842,NAD83,NEWFOUNDLAND–LABRADOR,POND
126,WaterQualityNL,"NORTHWEST RIVER AT TRANSCANADIAN HIGHWAY, PORT BLANDORD",,NF02YS0083,48.3956,-54.1981,NAD83,NEWFOUNDLAND–LABRADOR,RIVER
127,WaterQualityNL,BLUEHILL POND TERRA NOVA NATIONAL PARK,,NF02YS0111,48.600120000000004,-53.92632,NAD83,NEWFOUNDLAND–LABRADOR,POND
128,WaterQualityNL,"MINCHINS POND, TERRA NOVA NATIONAL PARK",,NF02YS0112,48.55813,-53.882619999999996,NAD83,NEWFOUNDLAND–LABRADOR,POND
129,WaterQualityNL,"YUDLE POND, TERRA NOVA NATIONAL PARK",,NF02YS0113,48.438340000000004,-54.033919999999995,NAD83,NEWFOUNDLAND–LABRADOR,POND
130,WaterQualityNL,OPERATIONS COMPOUND,,NF02YS0134,48.558440000000004,-53.97469,NAD83,NEWFOUNDLAND–LABRADOR,RIVER
131,WaterQualityNL,PINE HILL POND,,NF02YS0135,48.60399,-53.97454000000001,NAD83,NEWFOUNDLAND–LABRADOR,POND
132,WaterQualityNL,TROUT POND,,NF02YS0136,48.452717,-54.014393999999996,WGS84,NEWFOUNDLAND–LABRADOR,POND
133,WaterQualityNL,"GRAND CODROY RIVER, 50 M OVERFALL BROOK",,NF02ZA0006,47.8694,-59.1181,NAD83,NEWFOUNDLAND–LABRADOR,RIVER
134,WaterQualityNL,BUCK LAKE ON ROUTE 480,,NF02ZC0020,48.0133,-57.6664,NAD83,NEWFOUNDLAND–LABRADOR,LAKE
135,WaterQualityNL,NORTHEAST RIVER 4.7 KM EAST OF DUNVILLE,,NF02ZK0005,47.2731,-53.8403,NAD83,NEWFOUNDLAND–LABRADOR,RIVER
136,WaterQualityNL,"GOULDS BROOK, CONCEPTION BAY",,NF02ZL0029,47.5047,-53.2911,NAD83,NEWFOUNDLAND–LABRADOR,RIVER
137,WaterQualityNL,WATERFORD RIVER AT BRIDGE ON COMMONWEALTH AVENUE,,NF02ZM0004,47.5219,-52.8081,NAD83,NEWFOUNDLAND–LABRADOR,RIVER
138,WaterQualityNL,WATERFORD RIVER,,NF02ZM0009,47.5294,-52.7414,NAD83,NEWFOUNDLAND–LABRADOR,RIVER
139,WaterQualityNL,VIRGINIA RIVER AT ST. JOHN'S,,NF02ZM0014,47.5839,-52.6914,NAD83,NEWFOUNDLAND–LABRADOR,RIVER
140,WaterQualityNL,QUIDI VIDI LAKE OUTLET AT ST. JOHN'S,,NF02ZM0015,47.5839,-52.6808,NAD83,NEWFOUNDLAND–LABRADOR,RIVER
141,WaterQualityNL,RENNIE'S RIVER AT ST. JOHN'S,,NF02ZM0016,47.5778,-52.7008,NAD83,NEWFOUNDLAND–LABRADOR,RIVER
142,WaterQualityNL,BROAD COVE BROOK AT ST. PHILLIPS,,NF02ZM0020,47.5872,-52.8814,NAD83,NEWFOUNDLAND–LABRADOR,RIVER
143,WaterQualityNL,VIRGINIA RIVER APPROXIMATELY 1200 M UPSTREAM OF MCNIVEN PLACE,,NF02ZM0098,47.5983,-52.7583,NAD83,NEWFOUNDLAND–LABRADOR,RIVER
144,WaterQualityNL,MUNDY POND AT RIGHT SHORE 10 M ABOVE POND OUTLET,,NF02ZM0109,47.5517,-52.7439,NAD83,NEWFOUNDLAND–LABRADOR,POND
145,WaterQualityNL,WATERFORD RIVER AT BRIDGE ON BROOKFIELD ROAD,,NF02ZM0175,47.5261,-52.7633,NAD83,NEWFOUNDLAND–LABRADOR,RIVER
146,WaterQualityNL,SOUTH BROOK AT RAILWAY BRIDGE,,NF02ZM0176,47.5281,-52.7467,NAD83,NEWFOUNDLAND–LABRADOR,RIVER
147,WaterQualityNL,RENNIE'S RIVER AT PORTUGAL COVE ROAD BRIDGE,,NF02ZM0177,47.5744,-52.71,NAD83,NEWFOUNDLAND–LABRADOR,RIVER
148,WaterQualityNL,LEARY'S BROOK AT CLINCH CRESCENT BRIDGE,,NF02ZM0178,47.5725,-52.7392,NAD83,NEWFOUNDLAND–LABRADOR,RIVER
149,WaterQualityNL,VIRGINIA RIVER AT GUZZWELL DRIVE,,NF02ZM0179,47.5964,-52.7017,NAD83,NEWFOUNDLAND–LABRADOR,RIVER
150,WaterQualityNL,VIRGINIA RIVER AT NEWFOUNDLAND DRIVE,,NF02ZM0180,47.5997,-52.7006,NAD83,NEWFOUNDLAND–LABRADOR,RIVER
151,WaterQualityNL,WATERFORD RIVER AT BLACKHEAD ROAD BRIDGE,,NF02ZM0181,47.5481,-52.7192,NAD83,NEWFOUNDLAND–LABRADOR,RIVER
152,WaterQualityNL,WATERFORD RIVER AT BREMIGANS POND DAM,,NF02ZM0182,47.5186,-52.8558,NAD83,NEWFOUNDLAND–LABRADOR,RIVER
153,WaterQualityNL,KELLIGREW'S RIVER APPROXIMATELY 100 M DOWNSTREAM KELLIVIEW CRESCENT,,NF02ZM0183,47.4958,-53.0175,NAD83,NEWFOUNDLAND–LABRADOR,RIVER
154,WaterQualityNL,SOUTH BROOK APPROXIMATELY 300 M DOWNSTREAM HEADWATER POND,,NF02ZM0185,47.4936,-52.8506,NAD83,NEWFOUNDLAND–LABRADOR,RIVER
155,WaterQualityNL,MANUAL'S RIVER AT MANUALS ACCESS HIGHWAY,,NF02ZM0294,47.5197,-52.9447,NAD83,NEWFOUNDLAND–LABRADOR,RIVER
156,WaterQualityNL,PADDY'S POND AT OUTLET,,NF02ZM0359,47.488,-52.89411,NAD83,NEWFOUNDLAND–LABRADOR,POND
157,WaterQualityNL,SALMONIER RIVER AT ST. CATHERINES,,NF02ZN0004,47.1911,-53.3867,NAD83,NEWFOUNDLAND–LABRADOR,RIVER
158,WaterQualityNL,UGJOKTOK RIVER BELOW HARP LAKE,,NF03NF0013,55.2333,-61.2992,NAD83,NEWFOUNDLAND–LABRADOR,RIVER
159,WaterQualityNL,ASHUANIPI RIVER,,NF03OA0020,53.00169,-66.24162,NAD83,NEWFOUNDLAND–LABRADOR,RIVER
160,WaterQualityNL,ATIKONAK RIVER ABOVE PANCHIA LAKE,,NF03OC0012,52.9694,-64.6622,NAD83,NEWFOUNDLAND–LABRADOR,RIVER
161,WaterQualityNL,"EAST METCHIN RIVER, LABRADOR",,NF03OD0011,53.4353,-63.2342,NAD83,NEWFOUNDLAND–LABRADOR,RIVER
162,WaterQualityNL,WILSON RIVER EAST BRANCH,,NF03OD0012,53.3092,-62.9197,NAD83,NEWFOUNDLAND–LABRADOR,RIVER
163,WaterQualityNL,CHURCHILL RIVER ABOVE UPPER MUSKRAT FALLS,,NF03OE0001,53.2478,-60.7892,NAD83,NEWFOUNDLAND–LABRADOR,RIVER
164,WaterQualityNL,CHURCHILL RIVER ABOVE GRIZZLE FALLS,,NF03OE0029,52.970082999999995,-61.445389,WGS84,NEWFOUNDLAND–LABRADOR,RIVER
165,WaterQualityNL,MINIPI RIVER BELOW MINIPI LAKE,,NF03OE0030,52.6147,-61.1864,NAD83,NEWFOUNDLAND–LABRADOR,RIVER
166,WaterQualityNL,PINUS RIVER AT HYDROMETRIC STATION,,NF03OE0032,53.1478,-61.5586,NAD83,NEWFOUNDLAND–LABRADOR,RIVER
167,WaterQualityNL,BIG POND BROOK BELOW BIG POND,,NF03OE0033,53.5119,-60.2919,NAD83,NEWFOUNDLAND–LABRADOR,RIVER
168,WaterQualityNL,DOMINION LAKE OUTFLOW,,NF03OE0035,52.728933999999995,-61.754022,NAD83,NEWFOUNDLAND–LABRADOR,RIVER
169,WaterQualityNL,CACHE RIVER,,NF03OE0037,53.1925,-62.2031,NAD83,NEWFOUNDLAND–LABRADOR,RIVER
170,WaterQualityNL,NASKAUPI RIVER BELOW NASKAUPI LAKE,,NF03PB0025,54.1317,-61.4292,NAD83,NEWFOUNDLAND–LABRADOR,RIVER
171,WaterQualityNL,CAPE CARIBOU RIVER ISKUI,,NF03PB0028,53.6211,-60.4144,NAD83,NEWFOUNDLAND–LABRADOR,RIVER
172,WaterQualityNL,GRAND LAKE OUTFLOW AT SHESHATSHIU,,NF03PB0029,53.5217,-60.1419,NAD83,NEWFOUNDLAND–LABRADOR,RIVER
173,WaterQualityNL,ASHKUI AT NARROWS IN SEAL LAKE - W15SEA,,NF03PB0030,54.3319,-61.6408,NAD83,NEWFOUNDLAND–LABRADOR,LAKE
174,WaterQualityNL,ASHKUI ON SUSAN RIVER NORTH OF BEAVER RIVER W-20SUS,,NF03PB0032,53.7381,-60.9467,NAD83,NEWFOUNDLAND–LABRADOR,RIVER
175,WaterQualityNL,WUCHUSK LAKE NEAR INFLOW OF NASHAUPI RIVER,,NF03PB0037,54.3953,-61.7858,NAD83,NEWFOUNDLAND–LABRADOR,LAKE
176,WaterQualityNL,CARTER BASIN OUTFLOW,,NF03QA0044,53.4978,-59.8736,NAD83,NEWFOUNDLAND–LABRADOR,RIVER
177,WaterQualityNL,ASHKUI NEAR MOUTH OF KENAMU RIVER ON WEST BANK - W26KEN,,NF03QA0045,53.4761,-59.9169,NAD83,NEWFOUNDLAND–LABRADOR,RIVER
178,WaterQualityNL,EAGLE RIVER ABOVE FALLS,,NF03QC0001,53.5342,-57.495,NAD83,NEWFOUNDLAND–LABRADOR,RIVER
179,WaterQualityNL,ALEXIS RIVER APPROXIMATELY 48 KM FROM PORT HOPE SIMPSON,,NF03QC0002,52.6489,-56.8714,NAD83,NEWFOUNDLAND–LABRADOR,RIVER
180,Lab2020Salmon,Barachois Pond,BAP,BAP20-1,48.48275,-58.26319,,,
181,Lab2020Salmon,Barry Brook,BBR,BBR20-1,48.3327,-58.6908,,,
182,Lab2020Salmon,Barry's Brook,BAB,BAB20-1,49.2691,-54.4889,,,
183,Lab2020Salmon,Bay de Loup Brook,BLP,BLP20-1,47.6617,-57.5174,,,
184,Lab2020Salmon,Bay du Nord River,BNR,BNR20-1,47.7278,-55.4373,,,
185,Lab2020Salmon,Bear Cove Brook,BCB,BCB20-1,47.6609,-59.309,,,
186,Lab2020Salmon,Big Salmonier Brook,BSB,BSB20-1,47.05674000000001,-55.22286999999999,,,
187,Lab2020Salmon,Biscay Bay River,BSR,BSR20-1,46.7754,-53.2811,,,
188,Lab2020Salmon,Black River (Placentia),BRP,BRP20-1,47.8823,-54.1676,,,
189,Lab2020Salmon,Branch River,BRR,BRR20-1,46.8912,-53.97921,,,
190,Lab2020Salmon,Broad Cove Brook,BRB,BRB20-1,47.8393,-53.0973,,,
191,Lab2020Salmon,Burnt Island River,BIR,BIR20-1,47.609,-58.8728,,,
192,Lab2020Salmon,Burton's Pond,BPP,BPP20-1,47.57371,-52.72821999999999,,,
193,Lab2020Salmon,Campbellton,CBN,CBN20-1,49.2793,-54.9218,,,
194,Lab2020Salmon,Cape Roger Brook,CRB,CRB20-1,47.4272,-54.7035,,,
195,Lab2020Salmon,Cat Arm River,CAR,CAR20-1,50.1302,-56.7437,,,
196,Lab2020Salmon,Chaleur Bay Bay,CBB,CBB20-1,47.660705,-56.772339,,,
197,Lab2020Salmon,Cinq Cerf Brook,CCB,CCB20-1,47.6959,-58.1544,,,
198,Lab2020Salmon,Cloud River,CRR,CRR20-1,50.8518,-56.2005,,,
199,Lab2020Salmon,Come By Chance River,CBC,CBC20-1,47.96587,-53.9592,,,
200,Lab2020Salmon,Conne River,COR,COR20-1,47.9112,-55.695,,,
201,Lab2020Salmon,Connoire Brook,COB,COB20-1,47.7501,-57.9091,,,
202,Lab2020Salmon,Cooks Brook,CBR,CBR20-1,48.974,-58.0656,,,
203,Lab2020Salmon,Couteau Brook,CTB,CTB20-1,47.7398,-58.0278,,,
204,Lab2020Salmon,Cow Head Pond,CHP,CHP20-1,49.90396,-57.77584,,,
205,Lab2020Salmon,Crossing Place River,CPR,CPR20-1,46.9371,-53.4581,,,
206,Lab2020Salmon,Cuslett Brook,CUR,CUR20-1,46.96256,-54.154,,,
207,Lab2020Salmon,Deer Harbour River,DHR,DHR20-1,47.9068,-53.8103,,,
208,Lab2020Salmon,Devil Bay Brook,DBB,DBB20-1,47.663589,-56.631421,,,
209,Lab2020Salmon,East Bay Brook,EBB,EBB20-1,47.7672,-58.2494,,,
210,Lab2020Salmon,Fair Haven Brook,FHB,FHB20-1,47.54232,-53.89100000000001,,,
211,Lab2020Salmon,Farmers Brook,FBB,FBB20-1,47.6641,-58.5008,,,
212,Lab2020Salmon,First Pond - Off Southwest Brook,FPS,FPS20-1,48.52246,-58.24964,,,
213,Lab2020Salmon,Garia Brook,GBR,GBR20-1,47.7279,-58.5381,,,
214,Lab2020Salmon,Garnish River,GHR,GHR20-1,47.2282,-55.3455,,,
