,CrossingId,Fish Spp
259,Humber Arm20,Trout
260,Humber Arm20,Salmon
261,Humber Arm21,Trout
262,Humber Arm21,Salmon
263,Humber Arm22,Trout
264,Humber Arm22,Salmon
265,Humber Arm23,Trout
266,Humber Arm23,Salmon
267,Humber Arm24,Trout
268,Humber Arm24,Salmon
269,Humber Arm25,Trout
270,Humber Arm25,Salmon
271,Humber Arm26,Trout
272,Humber Arm26,Salmon
273,Humber Arm27,Trout
274,Humber Arm27,Salmon
275,Humber Arm28,Trout
276,Humber Arm28,Salmon
277,Humber Arm29,Trout
278,Humber Arm29,Salmon
279,Humber Arm30,Trout
280,Humber Arm30,Salmon
281,Humber Arm31,Trout
282,Humber Arm31,Salmon
283,Humber Arm32,Trout
284,Humber Arm32,Salmon
285,Humber Arm33,Trout
286,Humber Arm33,Salmon
287,Humber Arm34,Trout
288,Humber Arm34,Salmon
289,Humber Arm35,Trout
290,Humber Arm35,Salmon
291,Humber Arm36,Salmon
292,Humber Arm37,Trout
293,Humber Arm37,Salmon
294,Humber Arm38,Trout
295,Humber Arm38,Salmon
296,Humber Arm39,Trout
297,Humber Arm39,Salmon
298,Humber Arm40,Trout
299,Humber Arm41,Trout
300,Humber Arm41,Salmon
301,Humber Arm42,Salmon
302,Humber Arm43,Salmon
303,Humber Arm44,Salmon
304,Humber Arm45,Trout
305,Humber Arm45,Salmon
306,Humber Arm46,Trout
307,Humber Arm46,Salmon
308,Humber Arm47,Trout
309,Humber Arm47,Salmon
310,IBEC1,Trout
311,IBEC1,Salmon
312,IBEC1,Eel
313,IBEC2,Trout
314,IBEC2,Salmon
315,IBEC2,Eel
316,IBEC3,Trout
317,IBEC4,Trout
318,IBEC5,Trout
319,IBEC5,Salmon
320,IBEC5,Eel
321,IBEC6,Trout
322,IBEC6,Salmon
323,IBEC6,Eel
324,IBEC7,Trout
325,IBEC8,Trout
326,IBEC9,Trout
327,IBEC9,Eel
328,IBEC10,Trout
329,IBEC11,Trout
330,IBEC11,Salmon
331,IBEC12,Trout
332,IBEC12,Salmon
333,IBEC13,Trout
334,IBEC13,Salmon
335,IBEC14,Trout
336,IBEC14,Salmon
337,IBEC15,Trout
338,IBEC16,Trout
339,IBEC17,Trout
340,IBEC18,Trout
341,IBEC18,Salmon
342,IBEC19,Trout
343,IBEC19,Salmon
344,IBEC19,Eel
345,IBEC20,Trout
346,IBEC20,Salmon
347,IBEC21,Trout
348,IBEC22,Trout
349,IBEC23,Trout
350,IBEC24,Trout
351,IBEC25,Trout
352,IBEC26,Trout
353,IBEC27,Trout
354,IBEC28,Trout
355,IBEC29,Trout
356,IBEC30,Trout
357,IBEC31,Trout
358,IBEC32,Trout
359,IBEC33,Trout
360,IBEC34,Trout
361,IBEC35,Trout
362,IBEC36,Trout
363,IBEC37,Trout
364,IBEC38,Trout
365,IBEC39,Trout
366,IBEC40,Trout
367,IBEC41,Trout
368,IBEC42,Trout
369,IBEC43,Trout
370,IBEC44,Trout
371,IBEC45,Trout
372,IBEC46,Trout
373,IBEC47,Trout
374,IBEC48,Trout
375,IBEC49,Trout
376,IBEC50,Trout
377,IBEC51,Trout
378,IBEC52,Trout
379,IBEC53,Trout
380,IBEC54,Trout
381,IBEC55,Trout
382,IBEC56,Trout
383,IBEC57,Trout
384,IBEC58,Trout
385,IBEC59,Trout
386,IBEC60,Trout
387,IBEC61,Trout
388,IBEC62,Trout
389,IBEC63,Trout
390,IBEC64,Trout
391,IBEC65,Trout
392,IBEC66,Trout
393,IBEC67,Trout
394,IBEC68,Trout
395,IBEC69,Trout
396,IBEC70,Trout
397,IBEC71,Trout
398,IBEC72,Trout
399,IBEC72,Salmon
400,IBEC73,Trout
401,IBEC74,Trout
402,IBEC75,Trout
403,IBEC76,Trout
404,IBEC77,Trout
405,IBEC78,Trout
406,IBEC79,Trout
407,IBEC80,Trout
408,IBEC81,Trout
409,IBEC82,Trout
410,IBEC83,Trout
411,IBEC84,Trout
412,Inrervale W1,Trout
413,Inrervale W2,Trout
414,Inrervale W3,Trout
415,Inrervale W4,Trout
416,Inrervale W4,Salmon
417,Inrervale W5,Trout
418,Inrervale W5,Salmon
419,Inrervale W6,Trout
420,Inrervale W7,Trout
421,Inrervale W8,Trout
422,Inrervale W9,Trout
423,Inrervale W10,Trout
424,Inrervale W11,Stickleback
425,Inrervale W12,Trout
426,Inrervale W13,Trout
427,Inrervale W14,Trout
428,Inrervale W15,Trout
429,Inrervale W16,Trout
430,Intervale NP1,Trout
431,Intervale NP1,Salmon
432,Intervale NP2,Trout
433,Intervale NP3,Trout
434,Intervale NP4,Trout
435,Intervale NP5,Trout
436,Intervale NP5,Salmon
437,Intervale NP5,Calm
438,Intervale NP6,Trout
439,Intervale NP7,Trout
440,Intervale NP8,Trout
441,Intervale NP8,Salmon
442,Intervale NP9,Salmon
443,Intervale NP10,Trout
444,Intervale NP10,Salmon
445,Intervale NP11,Trout
446,Intervale NP11,Salmon
447,Intervale NP12,Trout
448,Intervale NP13,Trout
449,Intervale NP14,Trout
450,Intervale NP15,Trout
451,Intervale NP16,Trout
452,Intervale NP17,Trout
453,Intervale NP18,Trout
454,Intervale NP19,Trout
455,Intervale NP20,Trout
456,Intervale NP21,Trout
457,Intervale NP22,Trout
458,Intervale NP23,Trout
459,Intervale NP24,Trout
460,Intervale NP25,Trout
461,Intervale NP26,Trout
462,Intervale NP26,Salmon
463,Intervale NP27,Trout
464,Intervale NP28,Trout
465,Intervale NP29,Trout
466,Intervale NP30,Trout
467,Intervale NP30,Stickleback
468,Intervale NP31,Trout
469,Intervale NP31,Stickleback
470,Intervale NP32,Trout
471,Intervale NP33,Trout
472,Intervale NP34,Trout
473,Intervale NP35,Trout
474,Intervale NP36,Trout
475,Intervale NP37,Trout
476,Intervale NP40,Trout
477,Intervale NP41,Trout
478,Intervale NP42,Trout
479,Intervale NP43,Trout
480,Intervale NP44,Trout
481,Intervale NP45,Trout
482,MFN1,Trout
483,MFN2,Trout
484,MFN2,Salmon
485,MFN3,Trout
486,MFN4,Trout
487,MFN5,Trout
488,MFN5,Salmon
489,MFN6,Trout
490,MFN7,Trout
491,MFN8,Trout
492,MFN9,Trout
493,MFN10,Trout
494,MFN11,Trout
495,MFN12,Trout
496,MFN13,Trout
497,MFN14,Trout
498,MFN15,Trout
499,MFN16,Trout
500,MFN16,Salmon
501,MFN17,Trout
502,MFN17,Salmon
503,MFN18,Trout
504,MFN18,Salmon
505,MFN19,Trout
506,MFN19,Salmon
507,MFN20,Trout
508,MFN20,Salmon
509,MFN21,Trout
510,MFN21,Salmon
511,MFN22,Trout
512,NAACAP1,Trout
513,NAACAP2,Trout
514,NAACAP3,Trout
515,NAACAP4,Trout
516,NAACAP5,Trout
517,NAACAP6,Trout
518,NAACAP6,Salmon
519,NAACAP7,Trout
520,NAACAP7,Salmon
521,NAACAP8,Trout
522,NAACAP8,Salmon
523,NAACAP9,Trout
524,NAACAP9,Salmon
525,NAACAP10,Trout
526,NAACAP10,Salmon
527,NAACAP11,Trout
528,NAACAP11,Salmon
529,NAACAP12,Trout
530,NAACAP12,Salmon
531,NAACAP13,Trout
532,NAACAP13,Salmon
533,NAACAP14,Trout
534,NAACAP14,Salmon
535,NAACAP15,Trout
536,NCC1,Trout
537,NCC2,Trout
538,NCC3,Trout
539,NCC4,Trout
540,NCC5,Trout
541,NCC7,Trout
542,NCC7,Salmon
543,NCC8,Trout
544,NCC8,Salmon
545,NCC9,Trout
546,NCC9,Salmon
547,NCC10,Trout
548,NCC10,Salmon
549,NCC11,Trout
550,NCC11,Salmon
551,NCC12,Trout
552,NCC13,Trout
553,NCC14,Trout
554,NCC15,Trout
555,NCC16,Trout
556,NCC16,Salmon
557,NCC17,Trout
558,NCC18,Trout
559,NCC19,Trout
560,NCC20,Trout
561,NCC21,Trout
562,NCC21,Salmon
563,NCC22,Trout
564,NCC23,Trout
565,NCC23,Salmon
566,NCC24,Trout
567,NCC24,Stickleback
568,NCC25,Trout
569,NCC25,Salmon
570,NCC26,Trout
571,NCC27,Trout
572,NCC28,Trout
573,NCC29,Trout
574,NCC30,Trout
575,NCC31,Trout
576,NCC32,Trout
577,NCC33,Trout
578,NCC34,Trout
579,NCC35,Trout
580,NCC36,Trout
581,NCC37,Trout
582,NCC38,Trout
583,NCC39,Trout
584,NCC40,Trout
585,NCC41,Trout
586,NCC42,Trout
587,NCC43,Trout
588,NCC44,Trout
589,NCC45,Trout
590,NCC46,Trout
591,NCC47,Trout
592,NCC48,Trout
593,NCC49,Trout
594,NCC50,Trout
595,NCC51,Trout
596,NCC51,Salmon
597,NCC51,Char
598,NCC52,Trout
599,NCC52,Salmon
600,NCC52,Char
601,NCC53,Trout
602,NCC54,Trout
603,NCC54,Salmon
604,NCC54,Char
605,NCC54,Smelts
606,NCC54,Cod
607,NCC54,Sculpin
608,NCC55,Trout
609,NCC56,Trout
610,NCC57,Trout
611,NCC58,Trout
612,NCC59,Trout
613,NCC60,Trout
614,NCC61,Trout
615,NCC62,Trout
616,NCC62,Salmon
617,NCC63,Trout
618,NCC64,Trout
619,Qalipu1,Trout
620,Qalipu1,Salmon
621,Qalipu2,Trout
622,Qalipu2,Salmon
623,Qalipu4,Trout
624,Qalipu4,Salmon
625,Qalipu5,Trout
626,Qalipu5,Salmon
627,Qalipu6,Trout
628,Qalipu6,Salmon
629,Qalipu7,Trout
630,Qalipu7,Salmon
631,Qalipu8,Trout
632,Qalipu8,Salmon
633,Qalipu9,Trout
634,Qalipu10,Trout
635,Qalipu10,Salmon
636,Qalipu11,Trout
637,Qalipu11,Salmon
638,Qalipu12,Trout
639,Qalipu12,Salmon
640,Qalipu13,Trout
641,Qalipu13,Salmon
642,Qalipu14,Trout
643,Qalipu14,Salmon
644,Qalipu15,Trout
645,Qalipu15,Salmon
646,Qalipu16,Trout
647,Qalipu16,Salmon
648,Qalipu17,Trout
649,Qalipu17,Salmon
650,Qalipu18,Trout
651,Qalipu19,Trout
652,Qalipu3A,Trout
653,Qalipu3A,Salmon
654,Qalipu3B,Trout
655,Qalipu3B,Salmon
656,Qalipu3C,Trout
657,Qalipu3C,Salmon
658,Qalipu3D,Trout
659,Qalipu3D,Salmon
