segment_id_first,segment_id_second
02YL000-226,02YL000-19610
02YL000-227,02YL000-27275
02YL000-228,02YL000-27406
02YL000-229,02YL000-9693
02YL000-230,02YL000-13429
02YL000-231,
02YL000-232,02YL000-22212
02YL000-233,02YL000-14880
02YL000-234,02YL000-11915
02YL000-235,02YL000-4436
02YL000-236,02YL000-1299
02YL000-237,02YL000-12123
02YL000-238,02YL000-10641
02YL000-239,02YL000-2385
02YL000-240,02YL000-3768
02YL000-241,02YL000-8334
02YL000-242,02YL000-6079
02YL000-243,02YL000-2293
02YL000-244,02YL000-13167
02YL000-245,02YL000-25245
02YL000-246,02YL000-8603
02YL000-247,02YL000-11365
02YL000-248,02YL000-25746
02YL000-249,02YL000-14298
02YL000-250,02YL000-23344
02YL000-251,02YL000-15915
02YL000-252,02YL000-128
02YL000-253,02YL000-20717
02YL000-254,02YL000-1339
02YL000-255,02YL000-18984
02YL000-256,02YL000-9028
02YL000-256,02YL000-17101
02YL000-257,02YL000-16843
02YL000-258,02YL000-8984
02YL000-259,02YL000-1261
02YL000-260,02YL000-16507
02YL000-261,02YL000-4530
02YL000-262,02YL000-9628
02YL000-263,02YL000-23592
02YL000-264,02YL000-14243
02YL000-265,02YL000-12323
02YL000-266,02YL000-20209
02YL000-267,02YL000-25164
02YL000-268,02YL000-8495
02YL000-269,02YL000-15655
02YL000-270,02YL000-23309
02YL000-271,02YL000-5580
02YL000-272,02YL000-24574
02YL000-273,02YL000-12918
02YL000-274,02YL000-12513
02YL000-275,02YL000-9278
02YL000-276,02YL000-10244
02YL000-277,02YL000-11590
02YL000-278,
02YL000-279,02YL000-21653
02YL000-280,02YL000-16433
02YL000-281,02YL000-8790
02YL000-282,02YL000-12163
02YL000-283,02YL000-17426
02YL000-284,02YL000-3424
02YL000-285,02YL000-25038
02YL000-286,02YL000-17757
02YL000-287,02YL000-6983
02YL000-288,02YL000-9689
02YL000-289,02YL000-18910
02YL000-290,02YL000-8758
02YL000-291,02YL000-13179
02YL000-292,02YL000-9259
02YL000-293,02YL000-5987
02YL000-294,
02YL000-295,02YL000-21095
02YL000-296,02YL000-13234
02YL000-297,02YL000-26542
02YL000-298,02YL000-24907
02YL000-299,02YL000-16901
02YL000-300,02YL000-6717
02YL000-300,02YL000-11380
02YL000-301,02YL000-5245
02YL000-301,02YL000-19891
02YL000-302,02YL000-1215
02YL000-303,02YL000-4183
02YL000-304,02YL000-17788
02YL000-305,02YL000-20619
02YL000-306,02YL000-18065
02YL000-307,02YL000-18065
02YL000-308,02YL000-9341
02YL000-309,02YL000-24174
02YL000-310,02YL000-4399
02YL000-311,
02YL000-312,02YL000-17704
02YL000-313,02YL000-16364
02YL000-314,02YL000-17872
02YL000-315,02YL000-5547
02YL000-316,02YL000-19469
02YL000-317,02YL000-78
02YL000-318,02YL000-9649
02YL000-319,02YL000-17079
02YL000-320,02YL000-3373
02YL000-321,02YL000-18618
02YL000-322,02YL000-516
02YL000-322,02YL000-17962
02YL000-323,02YL000-8237
02YL000-324,02YL000-23121
02YL000-325,02YL000-7725
02YL000-326,
02YL000-327,02YL000-7558
02YL000-328,02YL000-2064
02YL000-329,02YL000-15478
02YL000-330,02YL000-19464
02YL000-331,02YL000-24447
02YL000-332,02YL000-18423
02YL000-333,02YL000-936
02YL000-334,02YL000-9429
02YL000-335,02YL000-27213
02YL000-336,02YL000-19935
02YL000-337,02YL000-22408
02YL000-338,02YL000-8217
02YL000-339,02YL000-62
02YL000-340,02YL000-9079
02YL000-341,02YL000-23372
02YL000-342,02YL000-5914
02YL000-343,02YL000-23884
02YL000-344,
02YL000-345,02YL000-16774
02YL000-346,02YL000-14290
02YL000-347,02YL000-8865
02YL000-348,02YL000-10586
02YL000-349,02YL000-2282
02YL000-350,02YL000-16709
02YL000-351,02YL000-25082
02YL000-352,02YL000-13721
02YL000-353,02YL000-10546
02YL000-354,02YL000-14739
02YL000-355,02YL000-8440
02YL000-356,02YL000-9865
02YL000-357,02YL000-16411
02YL000-358,02YL000-11356
02YL000-359,02YL000-15781
02YL000-360,02YL000-527
02YL000-361,02YL000-5274
02YL000-362,02YL000-24970
02YL000-363,02YL000-14686
02YL000-364,02YL000-6806
02YL000-365,02YL000-13111
02YL000-366,02YL000-25123
02YL000-367,02YL000-10111
02YL000-368,02YL000-7321
02YL000-369,02YL000-3537
02YL000-370,02YL000-2200
02YL000-371,02YL000-2090
02YL000-372,02YL000-22603
02YL000-373,02YL000-11748
02YL000-374,02YL000-11280
02YL000-375,02YL000-19523
02YL000-376,02YL000-1156
02YL000-376,02YL000-13677
02YL000-377,02YL000-2113
02YL000-378,02YL000-14851
02YL000-379,02YL000-19232
02YL000-380,02YL000-20705
02YL000-381,02YL000-16183
02YL000-382,02YL000-20100
02YL000-383,02YL000-18330
02YL000-384,02YL000-10431
02YL000-385,02YL000-7318
02YL000-386,02YL000-23801
02YL000-387,02YL000-19547
02YL000-388,
02YL000-389,02YL000-19326
02YL000-390,02YL000-6481
02YL000-391,02YL000-17776
02YL000-392,02YL000-18710
02YL000-393,02YL000-1940
02YL000-394,02YL000-6661
02YL000-395,02YL000-15920
02YL000-396,02YL000-25410
02YL000-397,02YL000-4620
02YL000-398,02YL000-2181
02YL000-399,02YL000-2443
02YL000-400,
02YL000-401,02YL000-5787
02YL000-402,02YL000-13488
02YL000-403,02YL000-194
02YL000-404,02YL000-25126
02YL000-405,02YL000-7111
02YL000-406,02YL000-20607
02YL000-407,02YL000-1531
02YL000-408,02YL000-6350
02YL000-409,02YL000-13676
02YL000-410,02YL000-3695
02YL000-411,02YL000-22197
02YL000-412,02YL000-22614
02YL000-413,02YL000-12091
02YL000-414,02YL000-10553
02YL000-415,02YL000-16018
02YL000-416,02YL000-2020
02YL000-417,02YL000-23601
02YL000-418,02YL000-24539
02YL000-419,02YL000-15426
02YL000-420,02YL000-16748
02YL000-421,02YL000-26039
02YL000-422,02YL000-27431
02YL000-423,02YL000-3834
02YL000-424,02YL000-25686
02YL000-425,02YL000-12188
02YL000-426,02YL000-12357
02YL000-427,02YL000-6798
02YL000-428,02YL000-17133
02YL000-429,
02YL000-430,
02YL000-431,
02YL000-432,02YL000-16883
02YL000-433,02YL000-5177
02YL000-434,02YL000-6218
02YL000-435,02YL000-21769
02YL000-435,02YL000-21895
02YL000-436,02YL000-20837
02YL000-437,02YL000-5110
02YL000-438,02YL000-26111
02YL000-439,
02YL000-440,02YL000-4452
02YL000-441,02YL000-11184
02YL000-442,02YL000-19683
02YL000-443,
02YL000-444,02YL000-10534
02YL000-445,02YL000-11384
02YL000-446,02YL000-7017
02YL000-447,02YL000-11558
02YL000-448,02YL000-1103
02YL000-449,02YL000-9833
02YL000-450,02YL000-17197
02YL000-451,02YL000-117
02YL000-452,02YL000-23120
02YL000-453,02YL000-8375
02YL000-454,02YL000-3174
02YL000-455,02YL000-24125
02YL000-456,02YL000-20081
02YL000-457,02YL000-18796
02YL000-458,02YL000-5812
02YL000-459,02YL000-15638
02YL000-460,
02YL000-461,02YL000-17947
02YL000-462,
02YL000-463,
02YL000-464,02YL000-12575
02YL000-465,02YL000-25037
02YL000-466,02YL000-1567
02YL000-467,02YL000-5254
02YL000-468,02YL000-12586
02YL000-469,02YL000-5340
02YL000-470,02YL000-10562
02YL000-471,02YL000-2604
02YL000-472,02YL000-21231
02YL000-473,02YL000-3404
02YL000-474,02YL000-20482
02YL000-475,02YL000-4312
02YL000-476,02YL000-18661
02YL000-477,02YL000-12566
02YL000-478,02YL000-22846
02YL000-479,02YL000-25673
02YL000-480,
02YL000-481,02YL000-15388
02YL000-482,02YL000-17034
02YL000-483,
02YL000-484,02YL000-15578
02YL000-485,02YL000-15948
02YL000-486,02YL000-2513
02YL000-487,02YL000-2413
02YL000-488,02YL000-14762
02YL000-489,02YL000-7723
02YL000-490,02YL000-20932
02YL000-491,02YL000-23132
02YL000-492,02YL000-9426
02YL000-493,02YL000-20991
02YL000-494,02YL000-8112
02YL000-495,02YL000-11359
02YL000-496,02YL000-5163
02YL000-497,02YL000-20918
02YL000-498,02YL000-8277
02YL000-499,02YL000-25042
02YL000-500,02YL000-25677
02YL000-501,02YL000-19436
02YL000-502,02YL000-21527
02YL000-503,02YL000-8466
02YL000-504,02YL000-4094
02YL000-505,02YL000-16529
02YL000-506,02YL000-19998
02YL000-507,02YL000-15077
02YL000-508,02YL000-9393
02YL000-509,02YL000-25860
02YL000-510,02YL000-7270
02YL000-511,02YL000-3790
02YL000-512,02YL000-15978
02YL000-513,02YL000-5146
02YL000-514,02YL000-10633
02YL000-515,02YL000-13101
02YL000-516,02YL000-25488
02YL000-517,02YL000-21727
02YL000-518,02YL000-14248
02YL000-519,02YL000-3228
02YL000-520,02YL000-1075
02YL000-521,02YL000-26430
02YL000-522,02YL000-24813
02YL000-523,02YL000-11537
02YL000-524,02YL000-3177
02YL000-525,02YL000-59
02YL000-526,02YL000-21833
02YL000-527,02YL000-2069
02YL000-528,02YL000-21394
02YL000-529,02YL000-2672
02YL000-530,02YL000-21418
02YL000-531,02YL000-24283
02YL000-532,
02YL000-533,
02YL000-534,
02YL000-535,02YL000-22323
02YL000-536,02YL000-18733
02YL000-537,02YL000-5922
02YL000-538,02YL000-2366
02YL000-539,02YL000-10480
02YL000-540,02YL000-10168
02YL000-541,02YL000-17120
02YL000-542,02YL000-8621
02YL000-543,02YL000-18964
02YL000-544,02YL000-10814
02YL000-545,02YL000-9697
02YL000-546,02YL000-26297
02YL000-547,02YL000-25523
02YL000-548,02YL000-9931
02YL000-549,02YL000-9438
02YL000-550,02YL000-1181
02YL000-551,02YL000-27207
02YL000-552,02YL000-18635
02YL000-553,02YL000-8962
02YL000-554,02YL000-2951
02YL000-555,02YL000-6057
02YL000-556,02YL000-6276
02YL000-557,02YL000-9885
02YL000-558,02YL000-24452
02YL000-559,02YL000-11159
02YL000-560,02YL000-19333
02YL000-561,02YL000-18144
02YL000-562,02YL000-11616
02YL000-563,02YL000-4419
02YL000-564,02YL000-775
02YL000-565,02YL000-15338
02YL000-566,02YL000-11713
02YL000-567,02YL000-10578
02YL000-568,02YL000-20474
02YL000-569,
02YL000-570,02YL000-22264
02YL000-571,02YL000-13743
02YL000-572,02YL000-13168
02YL000-573,02YL000-19735
02YL000-574,02YL000-13009
02YL000-575,02YL000-22516
02YL000-576,02YL000-23167
02YL000-577,02YL000-15667
02YL000-578,02YL000-10637
02YL000-579,02YL000-10130
02YL000-580,02YL000-9813
02YL000-581,02YL000-2176
02YL000-582,02YL000-13855
02YL000-583,02YL000-14276
02YL000-584,02YL000-11529
02YL000-584,02YL000-20332
02YL000-585,02YL000-18053
02YL000-586,02YL000-12654
02YL000-587,02YL000-23865
02YL000-588,02YL000-5277
02YL000-589,02YL000-5683
02YL000-590,02YL000-6214
02YL000-591,02YL000-1370
02YL000-592,02YL000-21815
02YL000-593,02YL000-18608
02YL000-594,02YL000-2835
02YL000-595,02YL000-24293
02YL000-596,02YL000-24087
02YL000-597,02YL000-15583
02YL000-598,02YL000-6955
02YL000-599,02YL000-10302
02YL000-600,02YL000-17134
02YL000-601,02YL000-19071
02YL000-602,02YL000-16931
02YL000-603,02YL000-7497
02YL000-604,02YL000-25200
02YL000-605,02YL000-9748
02YL000-606,02YL000-15577
02YL000-607,02YL000-13127
02YL000-608,02YL000-1290
02YL000-609,02YL000-17368
02YL000-610,02YL000-5253
02YL000-611,02YL000-3016
02YL000-612,
02YL000-613,
02YL000-614,02YL000-21193
02YL000-615,02YL000-2748
02YL000-616,02YL000-14428
02YL000-617,02YL000-14428
02YL000-618,02YL000-25977
02YL000-619,02YL000-14704
02YL000-620,02YL000-3434
02YL000-621,02YL000-25596
02YL000-622,02YL000-15937
02YL000-623,02YL000-21677
02YL000-624,02YL000-11257
02YL000-625,02YL000-13631
02YL000-626,02YL000-13674
02YL000-626,02YL000-17823
02YL000-627,02YL000-13425
02YL000-628,02YL000-16870
02YL000-629,02YL000-12018
02YL000-630,02YL000-24012
02YL000-631,
02YL000-632,02YL000-11349
02YL000-632,02YL000-19338
02YL000-633,02YL000-8534
02YL000-634,02YL000-14164
02YL000-635,02YL000-25403
02YL000-636,02YL000-8700
02YL000-637,
02YL000-638,02YL000-16154
02YL000-639,02YL000-16084
02YL000-640,02YL000-6083
02YL000-641,02YL000-21882
02YL000-642,02YL000-24412
02YL000-643,02YL000-24294
02YL000-644,02YL000-831
02YL000-645,
02YL000-646,02YL000-6321
02YL000-647,02YL000-4059
02YL000-648,02YL000-5556
02YL000-649,02YL000-21181
02YL000-650,02YL000-18247
02YL000-651,02YL000-19048
02YL000-652,02YL000-10462
02YL000-653,02YL000-9945
02YL000-654,02YL000-18862
02YL000-655,02YL000-23995
02YL000-656,02YL000-6896
02YL000-657,02YL000-14749
02YL000-658,02YL000-17247
02YL000-659,02YL000-12781
02YL000-660,02YL000-5707
02YL000-661,02YL000-5482
02YL000-662,02YL000-20140
02YL000-662,02YL000-23435
02YL000-663,02YL000-16461
02YL000-664,02YL000-1199
02YL000-665,02YL000-839
02YL000-666,02YL000-24839
02YL000-667,02YL000-27072
02YL000-668,02YL000-22325
02YL000-669,02YL000-12578
02YL000-670,02YL000-15746
02YL000-671,02YL000-14457
02YL000-672,
02YL000-673,
02YL000-674,02YL000-14639
02YL000-675,
02YL000-676,02YL000-6774
02YL000-677,02YL000-7426
02YL000-678,02YL000-22993
02YL000-679,02YL000-16471
02YL000-680,02YL000-26023
02YL000-681,02YL000-6822
02YL000-682,02YL000-22576
02YL000-683,02YL000-10242
02YL000-684,02YL000-27442
02YL000-685,02YL000-18099
02YL000-686,02YL000-2380
02YL000-686,02YL000-3203
02YL000-687,02YL000-6869
02YL000-688,02YL000-10302
02YL000-689,02YL000-16231
02YL000-690,
02YL000-691,02YL000-2061
02YL000-691,02YL000-21110
02YL000-692,
02YL000-693,02YL000-6512
02YL000-694,02YL000-21081
02YL000-695,02YL000-25006
02YL000-696,
02YL000-697,
02YL000-698,02YL000-5137
02YL000-699,
02YL000-700,02YL000-8216
02YL000-701,02YL000-10482
02YL000-702,02YL000-18686
02YL000-703,02YL000-4048
02YL000-704,02YL000-14407
02YL000-705,
02YL000-706,02YL000-13448
02YL000-707,02YL000-17308
02YL000-708,02YL000-9660
02YL000-709,02YL000-4382
02YL000-710,02YL000-23878
02YL000-711,02YL000-23724
02YL000-712,02YL000-2709
02YL000-713,02YL000-23255
02YL000-714,02YL000-3025
02YL000-715,02YL000-26298
02YL000-716,02YL000-19069
02YL000-717,02YL000-1208
02YL000-718,02YL000-19476
02YL000-719,02YL000-7322
02YL000-720,02YL000-22921
02YL000-721,02YL000-20349
02YL000-722,02YL000-11751
02YL000-723,02YL000-11845
02YL000-724,02YL000-8229
02YL000-725,02YL000-131
02YL000-726,02YL000-23106
02YL000-727,02YL000-6308
02YL000-728,02YL000-6715
02YL000-729,02YL000-805
02YL000-730,02YL000-12884
02YL000-731,02YL000-26589
02YL000-732,02YL000-3306
02YL000-733,02YL000-16734
02YL000-734,02YL000-25553
02YL000-735,02YL000-17571
02YL000-736,02YL000-24774
02YL000-737,
02YL000-738,02YL000-3095
02YL000-739,02YL000-13966
02YL000-740,02YL000-945
02YL000-741,02YL000-25138
02YL000-742,02YL000-16023
02YL000-743,02YL000-3269
02YL000-744,02YL000-8392
02YL000-745,02YL000-15355
02YL000-746,02YL000-23986
02YL000-747,02YL000-7628
02YL000-748,
02YL000-749,02YL000-18430
02YL000-750,
02YL000-751,02YL000-18253
02YL000-752,02YL000-13561
02YL000-753,02YL000-16686
02YL000-754,02YL000-23778
02YL000-755,02YL000-18194
02YL000-756,02YL000-13608
02YL000-757,02YL000-2272
02YL000-758,02YL000-16811
02YL000-759,02YL000-27281
02YL000-760,02YL000-22775
02YL000-761,02YL000-13460
02YL000-761,02YL000-15034
02YL000-762,02YL000-16497
02YL000-763,02YL000-15142
02YL000-764,02YL000-24258
02YL000-765,02YL000-11093
02YL000-766,02YL000-4204
02YL000-767,02YL000-15231
02YL000-768,02YL000-15260
02YL000-769,02YL000-2902
02YL000-770,02YL000-20718
02YL000-771,02YL000-4453
02YL000-772,02YL000-305
02YL000-772,02YL000-21996
02YL000-773,02YL000-13530
02YL000-774,02YL000-25519
02YL000-775,02YL000-21593
02YL000-776,02YL000-2389
02YL000-777,02YL000-6395
02YL000-778,02YL000-17925
02YL000-779,02YL000-25732
02YL000-780,02YL000-6431
02YL000-781,
02YL000-782,
02YL000-783,02YL000-17828
02YL000-784,02YL000-21871
02YL000-785,02YL000-1694
02YL000-786,02YL000-22740
02YL000-787,02YL000-23408
02YL000-788,02YL000-11853
02YL000-789,02YL000-598
02YL000-790,02YL000-17417
02YL000-791,
02YL000-792,02YL000-12723
02YL000-793,02YL000-22255
02YL000-794,02YL000-23929
02YL000-795,02YL000-10002
02YL000-796,02YL000-1347
02YL000-797,02YL000-130
02YL000-798,02YL000-6926
02YL000-799,02YL000-2423
02YL000-799,02YL000-13156
02YL000-800,02YL000-15482
02YL000-801,02YL000-15620
02YL000-802,02YL000-18479
02YL000-803,02YL000-15902
02YL000-804,02YL000-22008
02YL000-805,02YL000-10911
02YL000-806,02YL000-22157
02YL000-807,02YL000-9763
02YL000-808,02YL000-3803
02YL000-809,02YL000-14131
02YL000-810,02YL000-22358
02YL000-811,02YL000-9796
02YL000-812,02YL000-19870
02YL000-813,02YL000-1785
02YL000-814,02YL000-20403
02YL000-815,02YL000-6427
02YL000-816,02YL000-4316
02YL000-817,02YL000-7024
02YL000-818,02YL000-7124
02YL000-819,02YL000-9516
02YL000-820,02YL000-13590
02YL000-821,02YL000-24475
02YL000-822,02YL000-288
02YL000-823,02YL000-10623
02YL000-824,02YL000-5648
02YL000-825,02YL000-5378
02YL000-826,02YL000-9872
02YL000-827,02YL000-25136
02YL000-828,02YL000-23253
02YL000-829,02YL000-16118
02YL000-830,02YL000-4874
02YL000-831,02YL000-7603
02YL000-832,02YL000-16267
02YL000-833,02YL000-22663
02YL000-834,02YL000-12939
02YL000-835,02YL000-10610
02YL000-836,02YL000-6546
02YL000-837,02YL000-23719
02YL000-838,02YL000-4694
02YL000-839,02YL000-20594
02YL000-840,02YL000-15749
02YL000-841,02YL000-23806
02YL000-842,02YL000-13582
02YL000-843,02YL000-26140
02YL000-844,02YL000-3701
02YL000-845,02YL000-24132
02YL000-846,02YL000-27073
02YL000-847,02YL000-2578
02YL000-848,02YL000-21539
02YL000-849,
02YL000-850,
02YL000-851,02YL000-22104
02YL000-852,02YL000-23399
02YL000-853,02YL000-1202
02YL000-854,02YL000-10793
02YL000-855,02YL000-19158
02YL000-856,02YL000-24538
02YL000-857,02YL000-17171
02YL000-858,02YL000-15763
02YL000-859,02YL000-7495
02YL000-860,02YL000-9743
02YL000-861,
02YL000-862,02YL000-5091
02YL000-863,02YL000-1042
02YL000-864,02YL000-6347
02YL000-865,02YL000-21276
02YL000-866,02YL000-13504
02YL000-867,02YL000-25679
02YL000-868,02YL000-823
02YL000-869,02YL000-20935
02YL000-870,02YL000-11435
02YL000-871,02YL000-20793
02YL000-872,02YL000-4141
02YL000-873,02YL000-22068
02YL000-874,02YL000-5256
02YL000-875,02YL000-11704
02YL000-876,02YL000-22557
02YL000-877,
02YL000-878,02YL000-13566
02YL000-879,02YL000-5635
02YL000-880,02YL000-676
02YL000-881,02YL000-17784
02YL000-882,
02YL000-883,02YL000-5484
02YL000-884,02YL000-456
02YL000-885,02YL000-17561
02YL000-886,02YL000-7959
02YL000-887,02YL000-614
02YL000-888,02YL000-21260
02YL000-889,02YL000-17352
02YL000-890,
02YL000-891,
02YL000-892,02YL000-18954
02YL000-893,02YL000-16063
02YL000-894,02YL000-9983
02YL000-895,02YL000-26957
02YL000-896,02YL000-18526
02YL000-897,02YL000-4250
02YL000-898,02YL000-20260
02YL000-899,02YL000-11384
02YL000-900,02YL000-16687
02YL000-901,
02YL000-902,02YL000-6747
02YL000-903,02YL000-9003
02YL000-904,02YL000-9392
02YL000-905,02YL000-7667
02YL000-906,02YL000-17429
02YL000-907,02YL000-18019
02YL000-908,02YL000-24768
02YL000-909,02YL000-15164
02YL000-910,02YL000-17754
02YL000-911,02YL000-12772
02YL000-912,02YL000-8108
02YL000-913,02YL000-14484
02YL000-914,02YL000-19080
02YL000-915,02YL000-19138
02YL000-916,02YL000-26
02YL000-917,02YL000-17310
02YL000-918,02YL000-15276
02YL000-919,02YL000-22691
02YL000-920,02YL000-3157
02YL000-921,02YL000-3758
02YL000-922,02YL000-3510
02YL000-923,02YL000-22670
02YL000-924,02YL000-21557
02YL000-925,02YL000-708
02YL000-926,02YL000-6906
02YL000-926,02YL000-21458
02YL000-927,02YL000-22821
02YL000-928,02YL000-4863
02YL000-929,02YL000-379
02YL000-930,02YL000-20489
02YL000-931,02YL000-18146
02YL000-932,02YL000-23450
02YL000-933,02YL000-1742
02YL000-934,02YL000-9740
02YL000-935,02YL000-6522
02YL000-936,02YL000-1793
02YL000-937,
02YL000-938,
02YL000-939,02YL000-2069
02YL000-940,02YL000-11926
02YL000-941,02YL000-16812
