Unnamed: 0,CrossingId,Group,Number,StructureType,CrossingName,Date,RoadName,Latitude,Longitude,Fish Spp,Barriers up/downstream?,Further Assesment Required?,Shape,Material,Diameter (m),Wet width (m),High Water mark (cm),Inlet depth (cm),Outlet depth (cm),Inlet El (m),Outlet El (m),Length (m),Slope (%),Outflow drop (cm),Outflow pool depth (cm),Plunge factor (1.5x),Condition,Notes,DFO Comments,Obstruction?,Sent_to_Reg_Review,Monitoring & Occurences Unit Update,Added to pick list?,Issue,Action Required,geometry,segment_id,dist_meters
10,BSGS11,BSGS,11,Culvert,Rattling Brook 1,2019-10-22,Fishchells Road,48.2934,-58.7384,"Trout,Salmon",no,Yes,round,CSP,H:2.3  W:2.3,1.9,48,50,28,1.663,1.44,18.6,-1.2,0,>100,,good,"This brook is a tributary of Fischell's River. Debris caught up in end of inlet end. Observed four sea trout in outlet end. Three culverts here due to high volumes of water in spring. Two big, one small. Small one only active for overflow. No outflow drop because water level up over 1m","Likely not a barrier to fish at time of assessment, but should be monitored.",No,,,NO,,,POINT (-58.7384 48.2934),02YL000-16458,76692.4425490593
11,BSGS12,BSGS,12,Culvert,St Georges Dribble 1,2019-10-21,TCH St Georges,48.413,-58.4386,"Trout,Salmon",no,Yes,round,CSP,H: 3.6  W:3.6,1.9,29,57,20,0.5,1.27,35,2.2,22,>100,,good,"Culvert has baffles with 30cm opening in center of each one. Inbetween baffles there is hold up pool about 21 cm of water. Observed salmon in culvert. On outlet end very deep pool, pool to deep to measure, over 1m",BAFFLED,No,,,NO,,,POINT (-58.4386 48.413),02YL000-16458,53324.8237999421
12,ERMA1,ERMA,1,Culvert,Northern Arm Brook Culvert 01,2019-10-21,Newbay Road,49.08805,-55.58825,Salmon,no,Yes,round,CSP,2.6,1.21,89,21,6,0.73,0.82,20.8,0.432692308,23.5,65,2.765957447,good,"Licensed Salmon river. Double culvert, both perched.","Perched culverts, and have low water depth in outlet.",Maybe,,,NO,,,POINT (-55.58825 49.08805),02YL000-24807,106706.895080778
13,ERMA2,ERMA,2,Culvert,Northern Arm Brook Tributary 1 culvert 01,2019-10-21,Musquash,49.11193,-55.56104,"Trout,Salmon",no,Yes,round,CSP,1.41,0.74,40,10,5,0.25,0.43,9.12,1.973684211,,29,,fair,,Slope >1.5%,Yes,2020-07-13,,NO,,,POINT (-55.56104 49.11193),02YL000-24807,107479.690972782
14,ERMA3,ERMA,3,Culvert,Exploits Tributary NewBay Rd culvert 01,2019-10-21,Newbay Road,48.98587,-55.58136,"Trout,Salmon",no,Yes,round,CSP,1.77,1.3,95,19,36,1.45,1.35,14.32,-0.698324022,,46,,good,Double culvert,,No,,,NO,,,POINT (-55.58136 48.98587),02YL000-24807,112280.389522171
15,ERMA4,ERMA,4,Culvert,Greenwood's Brook Culvert 01,2019-10-28,Southside Resource Road,48.91832,-55.64856,Salmon,no,Yes,round,CSP,1.2,1,66,24.5,20,0.42,0.8,11.9,3.193277311,,65,,fair,Salmon observed in the downstream pool,Slope >1.5%,Yes,2020-07-13,,NO,,,POINT (-55.64856 48.91832),02YL000-24807,112030.925193899
16,ERMA5,ERMA,5,Culvert,South Brook Culvert 01,2019-10-29,Gull Pond Resource Road,49.24057,-56.11739,Salmon,no,Yes,round,CSP,3.3,0.63,78,14,12,0.78,0.98,18,1.111111111,,0.8,,good,,1% slope,Maybe,,,NO,,,POINT (-56.11739 49.24057),02YL000-24807,64566.9835096196
17,ERMA6,ERMA,6,Culvert,Rocky Brook Culvert 01,2019-10-29,TCH,49.07692,-56.07838,Salmon,no,No,,,,,,,,,,,,,,,,,,No,,,NO,,,POINT (-56.07838 49.07692),02YL000-24807,76143.2878295718
18,ERMA7,ERMA,7,Culvert,Exploits Tributary West culvert 01,2019-10-29,TCH,49.12719,-56.08815,"Trout,Salmon",no,Yes,round,CSP,1.15,1,30,13,25,0.68,0.94,30.1,0.86,,82,,good,,0.86% slope,Maybe,,,NO,,,POINT (-56.08815 49.12719),02YL000-24807,72420.7078667177
19,ERMA8,ERMA,8,Culvert,Powderhorn Brook culvert 01,2019-10-29,TCH,49.11842,-56.08109,"Trout,Salmon",no,Yes,round,CSP,2.99,2.62,62,25,28,0.83,1.15,23.3,1.373390558,,50,,good,"Culvert has some natural substrate washed in, but not all the way through the pipe.",1.4% slope,Maybe,,,NO,,,POINT (-56.08109 49.11842),02YL000-24807,73380.4145639248
20,ERMA9,ERMA,9,Culvert,Catamaran Brook culvert 01,2019-10-29,TCH,49.0523,-56.08551,Salmon,no,Yes,oval,CSP,4.23,3.45,71,10,16,0.735,1.4,28.15,2.362344583,,32,,good,,Slope >1.5%,Yes,2020-07-13,,NO,,,POINT (-56.08551 49.0523),02YL000-24807,77358.5759975719
21,ERMA10,ERMA,10,Culvert,Pynn's Brook culvert 01,2019-10-29,NFLD Trailway (off TCH),48.95267,-55.86973,"Trout,Salmon",no,No,,,,,,,,,,,,,,,,Large arched culvert with natural bottom,,No,,,YES,Another culvert is visible upstream in photos that was not assessed - wondering why?,Provide response to question.,POINT (-55.86973 48.95267),02YL000-24807,96624.5678529714
22,ERMA11,ERMA,11,Culvert,Badger Brook Tributary culvert 01,2019-10-29,TCH,49.01508,-56.05615,"Trout,Salmon",no,Yes,round,CSP,1.44,0.8,65,12,10,0.73,1.1,27.2,1.360294118,,45,,good,,1.4% slope,Maybe,,,NO,,,POINT (-56.05615 49.01508),02YL000-24807,81606.5653723016
23,ERMA12,ERMA,12,Culvert,Great Rattling Brook Tributary 1 culvert 01,2019-10-31,Bay D'Espoir Highway,48.94557,-55.50557,Salmon,no,Yes,round,CSP,1.8,1.28,54,17,30,0.74,0.928,25.3,0.743083004,,75,,poor,Broken screen at inlet (in disrepair),">0.5% slope, culvert in poor condition",Maybe,,,NO,,,POINT (-55.50557 48.94557),02YL000-24807,119319.331850077
24,ERMA13,ERMA,13,Culvert,Great Rattling Brook Tributary 2 culvert 01,2019-10-31,Bay D'Espoir Highway,48.92205,-55.50379,Salmon,no,Yes,round,CSP,2.2,1.5,65,16,31,0.87,1.83,28,3.428571429,,123,,poor,CSP bent and distorted at inlet,"3.4% slope, and culvert is in poor condition",Yes,2020-07-13,,NO,,,POINT (-55.50379 48.92205),02YL000-24807,120759.670905428
25,ERMA14,ERMA,14,Culvert,Great Rattling Brook Tributary 3 culvert 01,2019-10-31,Bay D'Espoir Highway,48.89433,-55.52338,Salmon,no,Yes,round,Concrete,1.3,1.2,62,12,56,0.6,1.12,21.1,2.464454976,,90,,good,,Slope >1.5%,Yes,2020-07-13,,NO,,,POINT (-55.52338 48.89433),02YL000-24807,121165.520923834
26,ERMA15,ERMA,15,Culvert,Great Rattling Brook Tributary 4 culvert 01,2019-10-31,Bay D'Espoir Highway,48.74389,-55.52789,Salmon,no,No,,,,,,,,,,,,,,,,Natural bottom. Backwatered. Good condition,,No,,,NO,,,POINT (-55.52789 48.74389),02YL000-24807,130684.364241866
27,ERMA16,ERMA,16,Culvert,Great Rattling Brook Tributary 5 culvert 01,2019-10-31,Sunday Pond Road,48.87636,-55.48845,"Trout,Salmon",no,No,,,,,,,,,,,,,,,,Natural bottom. Backwatered. Good condition,,No,,,NO,,,POINT (-55.48845 48.87636),02YL000-24807,124400.104286656
28,ERMA17,ERMA,17,Culvert,Southside Exploits River Trib culvert 01,2019-11-10,Southside Resource Road,48.91766,-55.6512,Salmon,no,Yes,round,CSP,1.56,0.65,46,17,8,0.98,1.28,15.2,1.973684211,10,92,9.2,fair,,Slope >1.5%,Yes,2020-07-13,,NO,,,POINT (-55.6512 48.91766),02YL000-24807,111911.445931847
29,FABEC1,FABEC,1,Culvert,Boatswains Brook Culvert 1,2019-09-12,TCH,48.702225,-54.119675,"Trout,Salmon",Yes,No,,,,,,,,,,,,,,,,4 baffles in culvert,,No,,,NO,,,POINT (-54.119675 48.702225),02YL000-24807,222535.345044504
30,FABEC2,FABEC,2,Culvert,Boatswains Brook Culvert 2,2019-09-12,TCH,48.705121,-54.124281,"Trout,Salmon",Yes,No,,,,,,,,,,,,,,,,6 baffles in culvert. Rust/holes at high water line.,,No,,,NO,,,POINT (-54.124281 48.705121),02YL000-24807,222095.426185491
31,FABEC3,FABEC,3,Culvert,Northwest Brook  (Alexander Bay) Culvert 1,2019-09-12,TCH,48.708412,-54.140196,"Trout,Salmon",no,No,,,,,,,,,,,,,,,,6 baffles in culvert,,No,,,NO,,,POINT (-54.140196 48.708412),02YL000-24807,220875.537311445
32,FABEC4,FABEC,4,Culvert,No Name Culvert 1,2019-09-12,TCH,48.71099,-54.14463,Trout,no,No,,,,,,,,,,,,,,,,Backwatered,,No,,,NO,,,POINT (-54.14463 48.71099),02YL000-24807,220461.503843596
33,FABEC5,FABEC,5,Culvert,Drover's Brook Culvert 1,2019-09-12,Drovers Ridge Rd,48.736405,-54.180191,Trout,no,No,,,,,,,,,,,,,,,,Backwatered,,No,,,NO,,,POINT (-54.180191 48.736405),02YL000-24807,216936.29188774
34,FABEC6,FABEC,6,Culvert,Drover's Brook Culvert 2,2019-09-12,TCH,48.737396,-54.188168,Trout,no,No,,,,,,,,,,,,,,,,Backwatered,,No,,,NO,,,POINT (-54.188168 48.737396),02YL000-24807,216353.574603548
35,FABEC7,FABEC,7,Culvert,Penny's Brook Culvert 1,2019-09-12,TCH,48.660007,-54.063684,Trout,no,No,,,,,,,,,,,,,,,,9 baffles in culvert. Possible obstruction downstream. See photo #7Downstream - large rocks in water,Culvert not likely a barrier but rocks downstream could be at low water levels.,No,,,NO,,,POINT (-54.063684 48.660007),02YL000-24807,228215.448014552
36,FABEC8,FABEC,8,Fording,Joe's Brook Ford 1,2019-10-07,Crown Ridge Resource Rd,48.8338,-54.443115,Trout,no,No,,,,,,,,,,,,,,,,"Crown Ridge Woods Road. Bridge removed, ATVs crossing stream, heavy traffic. Hunting and fishing in the area",Fording site not likely a barrier for fish passage.,No,,,NO,,,POINT (-54.443115 48.8338),02YL000-24807,194926.534898808
37,FABEC9,FABEC,9,Culvert,Outlet of Goose Cove Pond,2019-10-07,Railbed,48.79762,-54.243781,Trout,no,No,,,,,,,,,,,,,,,,"Railbed near Goose Pond, west of Gambo. Possibly an old wooden/stone culvert. Inlet and outlet have several old rottinglogs, large rocks. Debris possibly blocking inlet/outlet",Failed historic culvert could be a partial/full barrier to fish passage.,Maybe,,,NO,,,POINT (-54.243781 48.79762),02YL000-24807,210003.633175882
38,FABEC10,FABEC,10,Culvert,Dark Cove Pond/ Goose Pond Culvert 1,2019-10-07,Railbed,48.789113,-54.239447,Trout,no,Yes,round,Metal,0.84,0.24,28,25,3,0.189,0.21,6.096,0.344488189,10,2,0.2,poor,Rust and holes at outlet,"Poor culvert condition paired with outflow drop and shallow downstream pool.
photo seems to show barrier inside barrel of culvert too- beaver dam/debris?",Yes,,,NO,,,POINT (-54.239447 48.789113),02YL000-24807,210654.338502431
39,FABEC11,FABEC,11,Culvert,Drover's Brook Culvert 3,2019-10-07,"Railbed, near Grants",48.737416,-54.188174,Trout,no,No,,,,,,,,,,,,,,,,"Double culvert, backwatered",,No,,,NO,,,POINT (-54.188174 48.737416),02YL000-24807,216352.291000373
40,FABEC12,FABEC,12,Culvert,Rodney Pond rd Culvert 1,2019-10-09,Rodney Road,48.74831,-54.680155,Trout,no,Yes,round,Metal,1.88,1.2,New culvert,12.5,15,2.65,3,10.33,3.388189739,0,16,,good,,Steep Slope,Yes,2020-07-13,,NO,,,POINT (-54.680155 48.74831),02YL000-24807,183051.454569762
41,FABEC13,FABEC,13,Culvert,Rodney Pond rd Culvert 2,2019-10-09,Rodney Pond Rd,48.734544,-54.675975,Trout,no,No,,,,,,,,,,,,,,,,Backwatered,,No,,,NO,,,POINT (-54.675975 48.734544),02YL000-24807,184023.835613816
42,FABEC14,FABEC,14,Culvert,Rodney Pond rd Culvert 3,2019-10-09,Rodney Pond Rd,48.751616,-54.798142,Trout,no,Yes,,,,,,,,,,,,,,,,,"Culvert is not actually backwatered, needs to be further assessed.",Incomplete,,,YES,Culvert is not actually backwatered.,Further sssessment required,POINT (-54.798142 48.751616),02YL000-24807,175186.70561362
43,FABEC15,FABEC,15,Culvert,Skin Bridge rd Culvert 1,2019-10-09,Skin Bridge Rd,48.718291,-54.674443,Trout,no,No,,,,,,,,,,,,,,,,,Photos mislabeled - waiting on update.,Incomplete,,,YES,Photos are mislabeled,New photos required,POINT (-54.674443 48.718291),02YL000-24807,184960.97160363
44,FABEC16,FABEC,16,Culvert,Camp 10 rd Culvert 1,2019-10-17,Camp 10 Rd,48.690103,-54.734702,Trout,no,No,,,,,,,,,,,,,,,,Backwatered,,No,,,NO,,,POINT (-54.734702 48.690103),02YL000-24807,182565.116680487
45,FABEC17,FABEC,17,Culvert,Camp 10 rd Culvert 2,2019-10-17,Camp 10 Rd,48.682865,-54.687715,Trout,no,Yes,round,Metal,1.72,1.12,115,11,12.5,2.95,3.15,10,2,7.5,30.5,4.066666667,good,,Slope likely a velocity barrier.,Yes,2020-07-13,,NO,,,POINT (-54.687715 48.682865),02YL000-24807,185978.042533387
46,FABEC18,FABEC,18,Culvert,Camp 10 rd Culvert 3,2019-10-17,Camp 10 Rd,48.686333,-54.676383,Trout,no,Yes,oval,Corrugated Metal,1.8,1.1,0,18,3.5,29.4,30.7,10,13,7.5,29,3.866666667,good,,Extremely steep slope very likely to be a velocity barrier,Yes,2020-07-13,,NO,,,POINT (-54.676383 48.686333),02YL000-24807,186521.731102117
47,FABEC19,FABEC,19,Culvert,Camp 10 rd Culvert 4,2019-10-17,Camp 10 Rd,48.686198,-54.669156,Trout,no,No,,,,,,,,,,,,,,,,Backwatered,,No,,,NO,,,POINT (-54.669156 48.686198),02YL000-24807,186995.306186714
48,FABEC20,FABEC,20,Culvert,Unnamed Culvert 1,2019-10-17,Riverhead Resource Rd,48.681931,-54.532364,"Trout,Salmon",no,No,,,,,,,,,,,,,,,,Natural bottom,,No,,,NO,,,POINT (-54.532364 48.681931),02YL000-24807,196100.246992312
49,FABEC21,FABEC,21,Culvert,Unnamed Culvert 1,2019-10-17,Gambo AND Rd,48.707516,-54.476449,Trout,no,Yes,round,Metal,2.56,2.32,262,30.1,30.5,1.42,1.34,14.2,-0.563380282,50.1,90.5,1.806387226,good,,Outflow drop >40 cm,Yes,2020-07-13,,NO,,,POINT (-54.476449 48.707516),02YL000-24807,198481.008302526
50,FABEC22,FABEC,22,Culvert,Unnamed Culvert 2,2019-10-17,Gambo AND Rd,48.716704,-54.457622,"Trout,Salmon",no,No,,,,,,,,,,,,,,,,,,No,,,NO,,,POINT (-54.457622 48.716704),02YL000-24807,199275.501488067
51,FABEC23,FABEC,23,Culvert,Unnamed Culvert 3,2019-10-17,Gambo AND Rd,48.709737,-54.437087,Trout,no,Yes,round,Metal,0.95,0.93,93,25,20.3,3.2,3.39,14.93,1.272605492,6.2,70.5,11.37096774,good,Backwatered/Obstruction at inlet,Woody (likely beaver related) debris at inlet that could be a partial barrier at low water levels.,Maybe,,,NO,,,POINT (-54.437087 48.709737),02YL000-24807,200973.383790142
52,FABEC24,FABEC,24,Culvert,Boatswan BK Culvert 3,2019-10-05,Station Rd,48.679798,-54.113354,Trout,How the culvert is installed TCH,Yes,round,Metal,1.28,1.68,0,20.5,20.45,2.84,2.84,10.04,0,0,40,,good,,,No,,,NO,,,POINT (-54.113354 48.679798),02YL000-24807,223974.496007016
53,FABEC25,FABEC,25,Culvert,Boatswan BK Culvert 4,2019-10-10,TCH,48.69621,-54.11447,"Trout,Salmon",Yes,Yes,round,Metal,1.72,1.71,,,,,,30,0,17,,0,fair,"Culvert on old TCH (Folder 26) measure on approx 45 degre, outlet to base about 50m drop.",MAJOR OBSTRUCTION,Yes,2020-02-26,Visited the site in March (2020) snow cover made visual assessment impossible site needs assessment of upstream habitat before any further occurrence related action can be taken – we are not allowed to conduct site visits unless extreme emergency this is not an emergency so further assessment will have to wait. It is not an orphaned site as well so not sure it should be included on any further listing of offsetting or rehabilitation opportunities. Any further action arising from our assessment  will be directed towards the owner NL Transportation and Works.,NO,,,POINT (-54.11447 48.69621),02YL000-24807,223155.722775188
54,FABEC26,FABEC,26,Culvert,Boatswan BK Culvert 5,2019-10-10,Old TCH,48.690404,-54.109401,"Trout,Salmon",Yes,Yes,round,Metal,1.73,,,,,,,,,300,,0,,"Culvert 2 has collapsed completely 
Culvert 1 takes most of the water has partly collapsed
Culvert 3 at this water level has a small flow 
All 3 are in very poor condition, Outlet to base about 3m drop",Inlet obstructions and significant outflow drops.,Yes,,,NO,,,POINT (-54.109401 48.690404),02YL000-24807,223758.519905716
55,FABEC27,FABEC,27,Culvert,Gambo AND Rd Culvert 4,2019-11-14,Gambo AND Rd,48.70655,-54.40771,Trout,no,No,,,,,,,,,,,,,,,,,,No,,,NO,,,POINT (-54.40771 48.70655),02YL000-24807,203073.805671087
56,FABEC28,FABEC,28,Culvert,Gambo AND Rd Culvert 5,2019-11-14,Gambo AND Rd,48.706257,-54.402118,Trout,no,Yes,round,Metal,1.09,0.9,103,10,6.25,2.11,2.52,10.06,4.07554672,23,16,0.695652174,poor,Rusty at inlet.,Will be re-assessed in spring 2020,Incomplete,,,YES,High water mark measurement inaccurate,Reassessment required,POINT (-54.402118 48.706257),02YL000-24807,203458.687554845
57,FABEC29,FABEC,29,Culvert,Gambo AND Rd Culvert 6,2019-11-14,Gambo AND Rd,48.706618,-54.382083,"Trout,Salmon",no,Yes,Round (Triangle rounded corners),Metal,2.58,2.4,267,20.4,too deep,1.14,1.69,14,3.928571429,0,120,,good,,Will be re-assessed in spring 2021,Incomplete,,,YES,High water mark measurement inaccurate,Reassessment required,POINT (-54.382083 48.706618),02YL000-24807,204770.740496897
58,FABEC30,FABEC,30,Culvert,Gambo AND Rd Culvert 7,2019-11-14,Gambo AND Rd,48.707383,-54.374158,Trout,no,,,,,,,,,,,,,,,,,,Not backwatered - visible flow. Will be re-assessed in spring 2021,Incomplete,,,YES,Culvert is not actually backwatered.,Reassessment required,POINT (-54.374158 48.707383),02YL000-24807,205260.529223119
59,FABEC31,FABEC,31,Culvert,Gambo AND Rd Culvert 8,2019-11-14,Gambo AND Rd,48.720534,-54.311185,Trout,no,No,,,,,,,,,,,,,,,,Beaver has an obstruction in the culvert,Beaver activity in the culvert.,Maybe,,,NO,,,POINT (-54.311185 48.720534),02YL000-24807,208840.559669055
60,FABEC32,FABEC,32,Culvert,Gambo AND Rd Culvert 9,2019-11-14,Gambo AND Rd,48.72205,-54.30608,Trout,no,No,,,,,,,,,,,,,,,,,,No,,,NO,,,POINT (-54.30608 48.72205),02YL000-24807,209112.103854347
61,FABEC33,FABEC,33,Culvert,Boatswan Brook Culvert 6,2019-11-14,Old TCH,48.701053,-54.109943,"Trout,Salmon",Yes,Yes,round,Metal,3.55,2.3,298,28.6,20.6,0.89,1.4,30.7,1.661237785,0,40,,poor,,Will be re-assessed in spring 2021,Incomplete,,,YES,High water mark measurement inaccurate,Reassessment required,POINT (-54.109943 48.701053),02YL000-24807,223243.791236582
62,FABEC34,FABEC,34,Culvert,Boatswan Brook Culvert 7,2019-11-20,T'Railway,48.673668,-54.116833,Trout,no,No,round,,0.76,,,,,,,,,,,,,Circular culverts. 0.76 diameter each. 2 culverts are located deeper than the other 2. railbed seperates two sections of pond- essentially a caseway,,No,,,NO,,,POINT (-54.116833 48.673668),02YL000-24807,224022.084233154
63,FABEC35,FABEC,35,Culvert,"No-name brook (flows into Millers Angle, Maccles lake)",2019-11-20,T'Railway,48.61474,-54.1264,Trout,no,Yes,round,Corrugated Steel,1.1,0.94,110,16.5,25.4,2.29,2.99,9.3,7.52688172,0,27.9,,good,,Steep slope very likely to be a velocity barrier,Yes,2020-07-13,,NO,,,POINT (-54.1264 48.61474),02YL000-24807,226177.512102191
64,FABEC36,FABEC,36,Culvert,Brook flowing out of pond south of Tunnel pond,2019-11-20,T'Railway,48.58821,-54.15199,Trout,no,No,,,,,,,,,,,,,,,,,,No,,,NO,,,POINT (-54.15199 48.58821),02YL000-24807,225801.372569795
65,FABEC37,FABEC,37,Barrier,#37 No name,2019-11-20,T'Railway,48.57598,-54.18626,Trout,no,,,,,,,,,,,,,,,,,"Granite arch culvert, partially plugged with debris (see photo), has water flow but impeded by debris",Debris blockage inside culvert.,Maybe,,,NO,,,POINT (-54.18626 48.57598),02YL000-24807,224172.391950733
66,FABEC38,FABEC,38,Culvert,Beaver Brook,2019-11-20,T'Railway,48.51382,-54.21142,"Trout,Salmon",Yes,Yes,round,Corrugated Steel,1.06,0.85,81,48,21,2.9,3.26,18.4,1.956521739,22,23,1.045454545,excellent,Outlet highwater mark is not distinct but appears to be in upper half of culvert,Slope likely a velocity barrier.,Yes,2020-07-13,,NO,,,POINT (-54.21142 48.51382),02YL000-24807,225817.605844285
67,FABEC39,FABEC,39,Culvert,Lilly Brook,2019-11-20,Terra Nova Road Rte 301,48.502855,-54.187353,Trout,no,No,,,,,,,,,,,,,,,,,,No,,,NO,,,POINT (-54.187353 48.502855),02YL000-24807,227965.172453861
68,FABEC40,FABEC,40,Culvert,Steers Brook,2019-12-01,Terra Nova Road Rte 301,48.51075,-54.15561,Trout,no,Yes,round,Corrugated Steel,0.95,0.87,93,19,25,3.7,4.1,17.8,2.247191011,0,44,,poor,Rust holes im outlet end,>2% slope and culvert is in poor condition,Yes,2020-07-13,,NO,,,POINT (-54.15561 48.51075),02YL000-24807,229589.720742334
69,FABEC41,FABEC,41,Culvert,#41 No name,2019-11-20,Terra Nova Road Rte 301,48.51101,-54.12069,Trout,no,Yes,round,Corrugated Steel,1.12,0.54,87,23,9,2.82,3.43,15.3,3.986928105,37,13,0.351351351,excellent,,4% Slope and significant outflow drop,Yes,2020-07-13,,NO,,,POINT (-54.12069 48.51101),02YL000-24807,231839.84226568
70,FABEC42,FABEC,42,Culvert,#42 No name,2019-11-20,Terra Nova Road Rte 301,48.5064,-54.107,Trout,no,Yes,round,Corrugated Steel,1.17,0.68,90,18,24,3.58,3.9,16.2,1.975308642,8,48,6,excellent,,Slope likely a velocity barrier.,Yes,2020-07-13,,NO,,,POINT (-54.107 48.5064),02YL000-24807,232973.566805867
