,geometry,junction_id,lon,lat
25,"(-57.5035806, 49.4414921)",02YL000-25,-57.5035806,49.4414921
26,"(-57.0416101, 49.5647594)",02YL000-26,-57.0416101,49.5647594
27,"(-57.5033009, 49.4415218)",02YL000-27,-57.5033009,49.4415218
28,"(-57.4449641, 49.4244488)",02YL000-28,-57.4449641,49.4244488
29,"(-57.8734552, 49.1257997)",02YL000-29,-57.8734552,49.1257997
30,"(-57.4070155, 49.3281021)",02YL000-30,-57.4070155,49.3281021
31,"(-57.7727816, 49.1988814)",02YL000-31,-57.7727816,49.1988814
32,"(-57.3033873, 49.7088648)",02YL000-32,-57.3033873,49.7088648
33,"(-57.369116, 49.6119563)",02YL000-33,-57.369116,49.6119563
34,"(-57.7447028, 49.0746939)",02YL000-34,-57.7447028,49.0746939
35,"(-57.2672799, 49.4914552)",02YL000-35,-57.2672799,49.4914552
36,"(-57.0101962, 49.6037974)",02YL000-36,-57.0101962,49.6037974
37,"(-57.9957621, 49.2764592)",02YL000-37,-57.9957621,49.2764592
38,"(-57.5394127, 49.7865596)",02YL000-38,-57.5394127,49.7865596
39,"(-57.2403754, 49.5577223)",02YL000-39,-57.2403754,49.5577223
40,"(-57.8604771, 48.9443143)",02YL000-40,-57.8604771,48.9443143
41,"(-57.5805613, 49.701098)",02YL000-41,-57.5805613,49.701098
42,"(-57.7532178, 48.8949179)",02YL000-42,-57.7532178,48.8949179
43,"(-57.65267, 49.0228921)",02YL000-43,-57.65267,49.0228921
44,"(-57.4209939, 49.5089068)",02YL000-44,-57.4209939,49.5089068
45,"(-57.4210672, 49.6781667)",02YL000-45,-57.4210672,49.6781667
46,"(-57.4712638, 49.4205379)",02YL000-46,-57.4712638,49.4205379
47,"(-57.585271, 49.7587468)",02YL000-47,-57.585271,49.7587468
48,"(-57.1894128, 49.554205)",02YL000-48,-57.1894128,49.554205
49,"(-57.0294833, 49.5957458)",02YL000-49,-57.0294833,49.5957458
50,"(-57.2659434, 49.4315142)",02YL000-50,-57.2659434,49.4315142
51,"(-57.2854594, 49.6738035)",02YL000-51,-57.2854594,49.6738035
52,"(-57.2339176, 49.7060527)",02YL000-52,-57.2339176,49.7060527
53,"(-57.2335752, 49.7059789)",02YL000-53,-57.2335752,49.7059789
54,"(-57.4571527, 49.5774155)",02YL000-54,-57.4571527,49.5774155
55,"(-57.5091636, 49.0078698)",02YL000-55,-57.5091636,49.0078698
56,"(-57.4194014, 49.4030094)",02YL000-56,-57.4194014,49.4030094
57,"(-57.4760737, 49.5065358)",02YL000-57,-57.4760737,49.5065358
58,"(-57.9064952, 49.1787746)",02YL000-58,-57.9064952,49.1787746
59,"(-57.5428702, 49.6739525)",02YL000-59,-57.5428702,49.6739525
60,"(-57.0527007, 49.6026642)",02YL000-60,-57.0527007,49.6026642
61,"(-57.4625004, 49.6222296)",02YL000-61,-57.4625004,49.6222296
62,"(-57.4942535, 49.7238001)",02YL000-62,-57.4942535,49.7238001
63,"(-57.006876, 49.6119209)",02YL000-63,-57.006876,49.6119209
64,"(-57.6218744, 49.5536502)",02YL000-64,-57.6218744,49.5536502
65,"(-57.1552216, 49.3835515)",02YL000-65,-57.1552216,49.3835515
66,"(-57.7122889, 49.0349058)",02YL000-66,-57.7122889,49.0349058
67,"(-57.6017289, 49.5779763)",02YL000-67,-57.6017289,49.5779763
68,"(-57.0315277, 49.6516707)",02YL000-68,-57.0315277,49.6516707
69,"(-57.5053473, 49.6304039)",02YL000-69,-57.5053473,49.6304039
70,"(-57.2635276, 49.3241795)",02YL000-70,-57.2635276,49.3241795
71,"(-57.6937294, 49.170605)",02YL000-71,-57.6937294,49.170605
72,"(-57.4417425, 49.4469473)",02YL000-72,-57.4417425,49.4469473
73,"(-57.2321355, 49.4136009)",02YL000-73,-57.2321355,49.4136009
74,"(-57.0306158, 49.6970731)",02YL000-74,-57.0306158,49.6970731
75,"(-57.0294197, 49.5992372)",02YL000-75,-57.0294197,49.5992372
76,"(-57.2864849, 49.4923481)",02YL000-76,-57.2864849,49.4923481
77,"(-57.7856337, 48.9156226)",02YL000-77,-57.7856337,48.9156226
78,"(-57.4106347, 49.6788247)",02YL000-78,-57.4106347,49.6788247
79,"(-58.1826487, 49.0190959)",02YL000-79,-58.1826487,49.0190959
80,"(-57.3302987, 49.3783109)",02YL000-80,-57.3302987,49.3783109
81,"(-57.8581133, 49.2519791)",02YL000-81,-57.8581133,49.2519791
82,"(-57.5850428, 49.6714128)",02YL000-82,-57.5850428,49.6714128
83,"(-57.5165676, 49.5619769)",02YL000-83,-57.5165676,49.5619769
84,"(-57.4665853, 49.6045685)",02YL000-84,-57.4665853,49.6045685
85,"(-57.6285677, 49.6438407)",02YL000-85,-57.6285677,49.6438407
86,"(-58.0112263, 49.1094785)",02YL000-86,-58.0112263,49.1094785
87,"(-57.1659009, 49.5776054)",02YL000-87,-57.1659009,49.5776054
88,"(-57.2564277, 49.3980939)",02YL000-88,-57.2564277,49.3980939
89,"(-57.4143674, 49.3835317)",02YL000-89,-57.4143674,49.3835317
90,"(-57.5762958, 49.5800854)",02YL000-90,-57.5762958,49.5800854
91,"(-57.5073362, 49.2856118)",02YL000-91,-57.5073362,49.2856118
92,"(-57.4987133, 49.6254505)",02YL000-92,-57.4987133,49.6254505
93,"(-57.1673612, 49.3617463)",02YL000-93,-57.1673612,49.3617463
94,"(-57.6722267, 49.1906233)",02YL000-94,-57.6722267,49.1906233
95,"(-58.2152955, 49.2628162)",02YL000-95,-58.2152955,49.2628162
96,"(-57.0030644, 49.6708119)",02YL000-96,-57.0030644,49.6708119
97,"(-57.8030048, 48.8285203)",02YL000-97,-57.8030048,48.8285203
98,"(-57.4966949, 49.7424319)",02YL000-98,-57.4966949,49.7424319
99,"(-57.4403346, 49.705689)",02YL000-99,-57.4403346,49.705689
100,"(-57.4795085, 49.2704303)",02YL000-100,-57.4795085,49.2704303
101,"(-57.2397906, 49.6908851)",02YL000-101,-57.2397906,49.6908851
102,"(-57.2602131, 49.6903953)",02YL000-102,-57.2602131,49.6903953
103,"(-57.381259, 49.2741838)",02YL000-103,-57.381259,49.2741838
104,"(-57.5860925, 49.6298957)",02YL000-104,-57.5860925,49.6298957
105,"(-57.1331245, 49.5911784)",02YL000-105,-57.1331245,49.5911784
106,"(-57.4400431, 49.42259)",02YL000-106,-57.4400431,49.42259
107,"(-57.1946745, 49.2791408)",02YL000-107,-57.1946745,49.2791408
108,"(-57.5270652, 49.490894)",02YL000-108,-57.5270652,49.490894
109,"(-57.0040106, 49.6329884)",02YL000-109,-57.0040106,49.6329884
110,"(-57.2565782, 49.6018863)",02YL000-110,-57.2565782,49.6018863
111,"(-57.5968912, 49.6845467)",02YL000-111,-57.5968912,49.6845467
112,"(-57.7592659, 49.1095755)",02YL000-112,-57.7592659,49.1095755
113,"(-57.1142151, 49.5491546)",02YL000-113,-57.1142151,49.5491546
114,"(-57.7435515, 49.3112718)",02YL000-114,-57.7435515,49.3112718
115,"(-58.041609, 49.0619537)",02YL000-115,-58.041609,49.0619537
116,"(-57.5416341, 49.5607679)",02YL000-116,-57.5416341,49.5607679
117,"(-57.0787406, 49.5645918)",02YL000-117,-57.0787406,49.5645918
118,"(-57.4724011, 49.5018014)",02YL000-118,-57.4724011,49.5018014
119,"(-58.3018879, 49.0383553)",02YL000-119,-58.3018879,49.0383553
120,"(-57.4962333, 49.5045579)",02YL000-120,-57.4962333,49.5045579
121,"(-57.5955005, 49.6575262)",02YL000-121,-57.5955005,49.6575262
122,"(-57.789721, 49.1928624)",02YL000-122,-57.789721,49.1928624
123,"(-57.8491891, 48.9024512)",02YL000-123,-57.8491891,48.9024512
124,"(-57.2353006, 49.5162543)",02YL000-124,-57.2353006,49.5162543
125,"(-57.7370385, 49.0534567)",02YL000-125,-57.7370385,49.0534567
126,"(-57.8405567, 48.8743244)",02YL000-126,-57.8405567,48.8743244
127,"(-57.5361705, 49.5008267)",02YL000-127,-57.5361705,49.5008267
128,"(-57.5885008, 49.7014158)",02YL000-128,-57.5885008,49.7014158
129,"(-57.1798415, 49.5635584)",02YL000-129,-57.1798415,49.5635584
130,"(-57.5291435, 49.5861285)",02YL000-130,-57.5291435,49.5861285
131,"(-57.3663186, 49.277452)",02YL000-131,-57.3663186,49.277452
132,"(-57.5050081, 49.4319839)",02YL000-132,-57.5050081,49.4319839
133,"(-57.6737521, 48.9250982)",02YL000-133,-57.6737521,48.9250982
134,"(-57.8938871, 48.9039445)",02YL000-134,-57.8938871,48.9039445
135,"(-57.500413, 49.6789015)",02YL000-135,-57.500413,49.6789015
136,"(-57.8046062, 49.190516)",02YL000-136,-57.8046062,49.190516
137,"(-58.0311281, 49.2546196)",02YL000-137,-58.0311281,49.2546196
138,"(-57.2869549, 49.2475574)",02YL000-138,-57.2869549,49.2475574
139,"(-57.5955999, 49.6883219)",02YL000-139,-57.5955999,49.6883219
140,"(-57.6138558, 49.5695556)",02YL000-140,-57.6138558,49.5695556
141,"(-57.47207, 49.6694336)",02YL000-141,-57.47207,49.6694336
142,"(-57.5684824, 49.7333011)",02YL000-142,-57.5684824,49.7333011
143,"(-56.9847894, 49.4745053)",02YL000-143,-56.9847894,49.4745053
144,"(-58.0004895, 48.9974616)",02YL000-144,-58.0004895,48.9974616
145,"(-57.188743, 49.447934)",02YL000-145,-57.188743,49.447934
146,"(-57.0184933, 49.6340778)",02YL000-146,-57.0184933,49.6340778
147,"(-57.6750156, 49.691783)",02YL000-147,-57.6750156,49.691783
148,"(-57.3221704, 49.2523173)",02YL000-148,-57.3221704,49.2523173
149,"(-57.5570211, 49.7328192)",02YL000-149,-57.5570211,49.7328192
150,"(-57.2552113, 49.396179)",02YL000-150,-57.2552113,49.396179
151,"(-57.1123101, 49.6155619)",02YL000-151,-57.1123101,49.6155619
152,"(-57.8927806, 48.9630826)",02YL000-152,-57.8927806,48.9630826
153,"(-57.2907393, 49.6019201)",02YL000-153,-57.2907393,49.6019201
154,"(-57.5766587, 49.7167326)",02YL000-154,-57.5766587,49.7167326
155,"(-58.1880101, 49.2722473)",02YL000-155,-58.1880101,49.2722473
156,"(-57.4895117, 49.6621623)",02YL000-156,-57.4895117,49.6621623
157,"(-57.3986992, 49.4245293)",02YL000-157,-57.3986992,49.4245293
158,"(-57.810076, 49.168276)",02YL000-158,-57.810076,49.168276
159,"(-57.3013898, 49.6155353)",02YL000-159,-57.3013898,49.6155353
160,"(-57.1977229, 49.6704551)",02YL000-160,-57.1977229,49.6704551
161,"(-57.6870615, 48.9759624)",02YL000-161,-57.6870615,48.9759624
162,"(-57.4732792, 49.6304653)",02YL000-162,-57.4732792,49.6304653
163,"(-57.0770098, 49.528832)",02YL000-163,-57.0770098,49.528832
164,"(-57.3848187, 49.4963479)",02YL000-164,-57.3848187,49.4963479
165,"(-57.0694339, 49.5130841)",02YL000-165,-57.0694339,49.5130841
166,"(-57.4283272, 49.4613511)",02YL000-166,-57.4283272,49.4613511
167,"(-58.2867569, 49.0171125)",02YL000-167,-58.2867569,49.0171125
168,"(-58.0538556, 49.3162872)",02YL000-168,-58.0538556,49.3162872
169,"(-57.5213906, 49.6306609)",02YL000-169,-57.5213906,49.6306609
170,"(-57.5212749, 49.6306753)",02YL000-170,-57.5212749,49.6306753
171,"(-57.4597107, 49.4277931)",02YL000-171,-57.4597107,49.4277931
172,"(-57.185368, 49.6586317)",02YL000-172,-57.185368,49.6586317
173,"(-57.1452951, 49.6617191)",02YL000-173,-57.1452951,49.6617191
174,"(-57.1927025, 49.3985556)",02YL000-174,-57.1927025,49.3985556
175,"(-57.2327796, 49.392698)",02YL000-175,-57.2327796,49.392698
176,"(-58.2428391, 49.0212483)",02YL000-176,-58.2428391,49.0212483
177,"(-57.6609882, 49.1764509)",02YL000-177,-57.6609882,49.1764509
178,"(-57.0795143, 49.6225746)",02YL000-178,-57.0795143,49.6225746
179,"(-57.1667415, 49.5637562)",02YL000-179,-57.1667415,49.5637562
180,"(-57.4932248, 49.2654659)",02YL000-180,-57.4932248,49.2654659
181,"(-57.2143083, 49.4667069)",02YL000-181,-57.2143083,49.4667069
182,"(-58.1647833, 48.9775718)",02YL000-182,-58.1647833,48.9775718
183,"(-57.6665971, 48.9838281)",02YL000-183,-57.6665971,48.9838281
184,"(-57.5307343, 49.5125137)",02YL000-184,-57.5307343,49.5125137
185,"(-57.3286765, 49.5725001)",02YL000-185,-57.3286765,49.5725001
186,"(-57.4536584, 49.4038752)",02YL000-186,-57.4536584,49.4038752
187,"(-57.4538969, 49.7294272)",02YL000-187,-57.4538969,49.7294272
188,"(-57.0465819, 49.5000819)",02YL000-188,-57.0465819,49.5000819
189,"(-56.9496379, 49.6203765)",02YL000-189,-56.9496379,49.6203765
190,"(-57.3403698, 49.2532487)",02YL000-190,-57.3403698,49.2532487
191,"(-57.3939626, 49.6140062)",02YL000-191,-57.3939626,49.6140062
192,"(-57.7831664, 49.0233238)",02YL000-192,-57.7831664,49.0233238
193,"(-57.5957173, 49.7548066)",02YL000-193,-57.5957173,49.7548066
194,"(-57.8913564, 49.1015899)",02YL000-194,-57.8913564,49.1015899
195,"(-58.2905499, 49.0251968)",02YL000-195,-58.2905499,49.0251968
196,"(-57.8103114, 49.2765691)",02YL000-196,-57.8103114,49.2765691
197,"(-57.3327454, 49.4827641)",02YL000-197,-57.3327454,49.4827641
198,"(-57.754991, 49.1822553)",02YL000-198,-57.754991,49.1822553
199,"(-57.7379022, 49.0334882)",02YL000-199,-57.7379022,49.0334882
200,"(-56.9444857, 49.5560749)",02YL000-200,-56.9444857,49.5560749
201,"(-57.5054559, 49.4219731)",02YL000-201,-57.5054559,49.4219731
202,"(-57.0989154, 49.5532538)",02YL000-202,-57.0989154,49.5532538
203,"(-57.4741485, 49.5773013)",02YL000-203,-57.4741485,49.5773013
204,"(-57.4096029, 49.1706249)",02YL000-204,-57.4096029,49.1706249
205,"(-57.4920684, 49.3026931)",02YL000-205,-57.4920684,49.3026931
206,"(-57.750799, 49.2848935)",02YL000-206,-57.750799,49.2848935
207,"(-57.5210383, 49.7188843)",02YL000-207,-57.5210383,49.7188843
208,"(-57.7261136, 49.0853199)",02YL000-208,-57.7261136,49.0853199
209,"(-57.668779, 49.6156244)",02YL000-209,-57.668779,49.6156244
210,"(-57.0189461, 49.542983)",02YL000-210,-57.0189461,49.542983
211,"(-57.5310278, 49.5787646)",02YL000-211,-57.5310278,49.5787646
212,"(-57.7814314, 49.2068796)",02YL000-212,-57.7814314,49.2068796
213,"(-57.3999929, 49.5353949)",02YL000-213,-57.3999929,49.5353949
214,"(-57.1363623, 49.4373725)",02YL000-214,-57.1363623,49.4373725
215,"(-57.5047884, 49.6231719)",02YL000-215,-57.5047884,49.6231719
216,"(-57.2359787, 49.6954577)",02YL000-216,-57.2359787,49.6954577
217,"(-57.3473695, 49.6059682)",02YL000-217,-57.3473695,49.6059682
218,"(-57.3882697, 49.6822047)",02YL000-218,-57.3882697,49.6822047
219,"(-58.4030056, 49.0784409)",02YL000-219,-58.4030056,49.0784409
220,"(-57.6426156, 49.184886)",02YL000-220,-57.6426156,49.184886
221,"(-57.6253282, 49.6588681)",02YL000-221,-57.6253282,49.6588681
222,"(-57.5930947, 49.1884741)",02YL000-222,-57.5930947,49.1884741
223,"(-57.5758604, 49.6358955)",02YL000-223,-57.5758604,49.6358955
224,"(-57.6037304, 49.7321346)",02YL000-224,-57.6037304,49.7321346
225,"(-57.1973629, 49.5753081)",02YL000-225,-57.1973629,49.5753081
226,"(-57.12925, 49.6462063)",02YL000-226,-57.12925,49.6462063
227,"(-57.8492876, 48.9024498)",02YL000-227,-57.8492876,48.9024498
228,"(-57.4590684, 49.3018521)",02YL000-228,-57.4590684,49.3018521
229,"(-57.6695963, 49.591767)",02YL000-229,-57.6695963,49.591767
230,"(-57.3138552, 49.4233536)",02YL000-230,-57.3138552,49.4233536
231,"(-57.2301598, 49.4446123)",02YL000-231,-57.2301598,49.4446123
232,"(-57.7884388, 48.8154255)",02YL000-232,-57.7884388,48.8154255
233,"(-57.4294304, 49.4456102)",02YL000-233,-57.4294304,49.4456102
234,"(-57.1716405, 49.6596226)",02YL000-234,-57.1716405,49.6596226
235,"(-57.5392758, 49.695214)",02YL000-235,-57.5392758,49.695214
236,"(-57.619507, 49.566948)",02YL000-236,-57.619507,49.566948
237,"(-57.0098317, 49.5244692)",02YL000-237,-57.0098317,49.5244692
238,"(-57.6679272, 49.6703749)",02YL000-238,-57.6679272,49.6703749
239,"(-57.2323031, 49.2938553)",02YL000-239,-57.2323031,49.2938553
240,"(-57.4966408, 49.6001209)",02YL000-240,-57.4966408,49.6001209
241,"(-58.0055807, 49.2824179)",02YL000-241,-58.0055807,49.2824179
242,"(-57.1550913, 49.5394911)",02YL000-242,-57.1550913,49.5394911
243,"(-57.6579213, 49.6715439)",02YL000-243,-57.6579213,49.6715439
244,"(-57.5859438, 49.5193207)",02YL000-244,-57.5859438,49.5193207
245,"(-57.1911598, 49.4476294)",02YL000-245,-57.1911598,49.4476294
246,"(-57.581309, 49.7265579)",02YL000-246,-57.581309,49.7265579
247,"(-57.3832919, 49.4264272)",02YL000-247,-57.3832919,49.4264272
248,"(-57.3271421, 49.2238953)",02YL000-248,-57.3271421,49.2238953
249,"(-57.1312116, 49.3673581)",02YL000-249,-57.1312116,49.3673581
250,"(-57.3247336, 49.4586563)",02YL000-250,-57.3247336,49.4586563
251,"(-57.0706165, 49.4752257)",02YL000-251,-57.0706165,49.4752257
252,"(-57.589677, 49.7015116)",02YL000-252,-57.589677,49.7015116
253,"(-57.0794731, 49.6622122)",02YL000-253,-57.0794731,49.6622122
254,"(-57.6535979, 49.1280433)",02YL000-254,-57.6535979,49.1280433
255,"(-57.7454212, 49.2086102)",02YL000-255,-57.7454212,49.2086102
256,"(-57.4941185, 49.5028062)",02YL000-256,-57.4941185,49.5028062
257,"(-57.7333135, 49.0564303)",02YL000-257,-57.7333135,49.0564303
258,"(-57.3210141, 49.5771277)",02YL000-258,-57.3210141,49.5771277
259,"(-57.1297924, 49.6296478)",02YL000-259,-57.1297924,49.6296478
260,"(-57.161294, 49.6007013)",02YL000-260,-57.161294,49.6007013
261,"(-57.4641903, 49.669003)",02YL000-261,-57.4641903,49.669003
262,"(-57.9287993, 49.2164501)",02YL000-262,-57.9287993,49.2164501
263,"(-57.527303, 49.5)",02YL000-263,-57.527303,49.5
264,"(-56.9852093, 49.6423292)",02YL000-264,-56.9852093,49.6423292
265,"(-58.4142422, 49.0678663)",02YL000-265,-58.4142422,49.0678663
266,"(-57.6569313, 49.1411261)",02YL000-266,-57.6569313,49.1411261
267,"(-57.6558984, 49.6162481)",02YL000-267,-57.6558984,49.6162481
268,"(-56.9318467, 49.5807064)",02YL000-268,-56.9318467,49.5807064
269,"(-57.4476454, 49.4399423)",02YL000-269,-57.4476454,49.4399423
270,"(-57.6150973, 49.5823249)",02YL000-270,-57.6150973,49.5823249
271,"(-57.5112993, 49.5949366)",02YL000-271,-57.5112993,49.5949366
272,"(-57.0738269, 49.3786134)",02YL000-272,-57.0738269,49.3786134
273,"(-57.3399525, 49.6362295)",02YL000-273,-57.3399525,49.6362295
274,"(-57.5644638, 49.7135585)",02YL000-274,-57.5644638,49.7135585
275,"(-57.3182733, 49.6761682)",02YL000-275,-57.3182733,49.6761682
276,"(-57.7742811, 48.8129096)",02YL000-276,-57.7742811,48.8129096
277,"(-57.0656254, 49.6046103)",02YL000-277,-57.0656254,49.6046103
278,"(-57.2087425, 49.316267)",02YL000-278,-57.2087425,49.316267
279,"(-57.4354691, 49.1228896)",02YL000-279,-57.4354691,49.1228896
280,"(-57.176333, 49.4392877)",02YL000-280,-57.176333,49.4392877
281,"(-57.5381455, 49.5401595)",02YL000-281,-57.5381455,49.5401595
282,"(-57.7708588, 48.8103519)",02YL000-282,-57.7708588,48.8103519
283,"(-57.8751511, 49.0021176)",02YL000-283,-57.8751511,49.0021176
284,"(-57.0422833, 49.6704102)",02YL000-284,-57.0422833,49.6704102
285,"(-57.6012989, 48.9968845)",02YL000-285,-57.6012989,48.9968845
286,"(-57.2755463, 49.5516794)",02YL000-286,-57.2755463,49.5516794
287,"(-57.8127578, 49.0259742)",02YL000-287,-57.8127578,49.0259742
288,"(-57.4161697, 49.5776672)",02YL000-288,-57.4161697,49.5776672
289,"(-57.1467435, 49.6300726)",02YL000-289,-57.1467435,49.6300726
290,"(-57.7918982, 49.1736792)",02YL000-290,-57.7918982,49.1736792
291,"(-57.1130683, 49.5511583)",02YL000-291,-57.1130683,49.5511583
292,"(-57.9382643, 49.0538201)",02YL000-292,-57.9382643,49.0538201
293,"(-57.3464424, 49.6057614)",02YL000-293,-57.3464424,49.6057614
294,"(-58.0493019, 49.3151298)",02YL000-294,-58.0493019,49.3151298
295,"(-57.7923598, 48.9222787)",02YL000-295,-57.7923598,48.9222787
296,"(-57.2524759, 49.6636322)",02YL000-296,-57.2524759,49.6636322
297,"(-58.0836287, 49.3104957)",02YL000-297,-58.0836287,49.3104957
298,"(-57.6983509, 48.9208801)",02YL000-298,-57.6983509,48.9208801
299,"(-57.4267113, 49.4085724)",02YL000-299,-57.4267113,49.4085724
300,"(-57.289362, 49.4228231)",02YL000-300,-57.289362,49.4228231
301,"(-57.1352675, 49.3780914)",02YL000-301,-57.1352675,49.3780914
302,"(-57.0298494, 49.6928331)",02YL000-302,-57.0298494,49.6928331
303,"(-57.3686813, 49.6877679)",02YL000-303,-57.3686813,49.6877679
304,"(-57.4252617, 49.463037)",02YL000-304,-57.4252617,49.463037
305,"(-57.3164117, 49.3963486)",02YL000-305,-57.3164117,49.3963486
306,"(-57.5064561, 49.0145381)",02YL000-306,-57.5064561,49.0145381
307,"(-57.5069723, 49.0149617)",02YL000-307,-57.5069723,49.0149617
308,"(-57.6279148, 49.6180569)",02YL000-308,-57.6279148,49.6180569
309,"(-57.7359623, 48.9366341)",02YL000-309,-57.7359623,48.9366341
310,"(-57.5762958, 49.7175726)",02YL000-310,-57.5762958,49.7175726
311,"(-57.1925397, 49.2758065)",02YL000-311,-57.1925397,49.2758065
312,"(-58.0821943, 48.9572147)",02YL000-312,-58.0821943,48.9572147
313,"(-57.5387795, 49.6028205)",02YL000-313,-57.5387795,49.6028205
314,"(-57.5617964, 49.5983981)",02YL000-314,-57.5617964,49.5983981
315,"(-57.0793615, 49.6662063)",02YL000-315,-57.0793615,49.6662063
316,"(-57.3045749, 49.4867205)",02YL000-316,-57.3045749,49.4867205
317,"(-57.4012871, 49.6893993)",02YL000-317,-57.4012871,49.6893993
318,"(-57.1514923, 49.4679153)",02YL000-318,-57.1514923,49.4679153
319,"(-57.1331529, 49.6350233)",02YL000-319,-57.1331529,49.6350233
320,"(-57.3852903, 49.2403728)",02YL000-320,-57.3852903,49.2403728
321,"(-57.7687485, 48.8316472)",02YL000-321,-57.7687485,48.8316472
322,"(-57.298211, 49.4261397)",02YL000-322,-57.298211,49.4261397
323,"(-57.5473368, 49.6054298)",02YL000-323,-57.5473368,49.6054298
324,"(-57.2040708, 49.6964392)",02YL000-324,-57.2040708,49.6964392
325,"(-57.5604651, 49.7176051)",02YL000-325,-57.5604651,49.7176051
326,"(-58.2689412, 49.046252)",02YL000-326,-58.2689412,49.046252
327,"(-57.8577145, 49.2215049)",02YL000-327,-57.8577145,49.2215049
328,"(-57.6446574, 49.7444483)",02YL000-328,-57.6446574,49.7444483
329,"(-57.1058856, 49.6075061)",02YL000-329,-57.1058856,49.6075061
330,"(-57.1451415, 49.5962287)",02YL000-330,-57.1451415,49.5962287
331,"(-57.5416496, 49.6873098)",02YL000-331,-57.5416496,49.6873098
332,"(-57.4519452, 49.4620517)",02YL000-332,-57.4519452,49.4620517
333,"(-57.6331005, 49.7484493)",02YL000-333,-57.6331005,49.7484493
334,"(-57.0917341, 49.5114609)",02YL000-334,-57.0917341,49.5114609
335,"(-57.180824, 49.3127751)",02YL000-335,-57.180824,49.3127751
336,"(-57.5784311, 49.72747)",02YL000-336,-57.5784311,49.72747
337,"(-57.5028657, 49.4457855)",02YL000-337,-57.5028657,49.4457855
338,"(-57.2318191, 49.6927782)",02YL000-338,-57.2318191,49.6927782
339,"(-57.4986835, 49.7324141)",02YL000-339,-57.4986835,49.7324141
340,"(-57.5704035, 49.6129227)",02YL000-340,-57.5704035,49.6129227
341,"(-57.6641907, 49.2630834)",02YL000-341,-57.6641907,49.2630834
342,"(-57.0104921, 49.5260799)",02YL000-342,-57.0104921,49.5260799
343,"(-58.108949, 49.2797616)",02YL000-343,-58.108949,49.2797616
344,"(-57.6705057, 49.1996316)",02YL000-344,-57.6705057,49.1996316
345,"(-57.5559468, 49.5772344)",02YL000-345,-57.5559468,49.5772344
346,"(-58.0778775, 48.8889348)",02YL000-346,-58.0778775,48.8889348
347,"(-57.416148, 49.3380803)",02YL000-347,-57.416148,49.3380803
348,"(-57.5988964, 49.5703264)",02YL000-348,-57.5988964,49.5703264
349,"(-57.1875036, 49.6850614)",02YL000-349,-57.1875036,49.6850614
350,"(-57.7474115, 48.9700228)",02YL000-350,-57.7474115,48.9700228
351,"(-57.5622466, 49.6139)",02YL000-351,-57.5622466,49.6139
352,"(-57.5816838, 49.6542432)",02YL000-352,-57.5816838,49.6542432
353,"(-57.6385314, 49.6164136)",02YL000-353,-57.6385314,49.6164136
354,"(-57.559643, 49.6902815)",02YL000-354,-57.559643,49.6902815
355,"(-57.292977, 49.7405269)",02YL000-355,-57.292977,49.7405269
356,"(-56.9499703, 49.5512557)",02YL000-356,-56.9499703,49.5512557
357,"(-57.2121061, 49.689777)",02YL000-357,-57.2121061,49.689777
358,"(-57.4032382, 49.4347599)",02YL000-358,-57.4032382,49.4347599
359,"(-57.5557514, 49.5475181)",02YL000-359,-57.5557514,49.5475181
360,"(-57.4326189, 49.528257)",02YL000-360,-57.4326189,49.528257
