Effort_Id,DataSetName,SiteName,SiteCode,SiteId,Latitude,Longitude,Date,VolumeFIltered,Sample_Method,Filter size,PrimaryInvestigator,effort_type,Access_Type,Confirmed_Killifish,Group,SubGroup,Technician,Obstruction,Depth,Flow,Other people,RiverName,Measured_with,WaterTemp,DO%,DOmg.L,DO.CH,Sal,C.us.-cm,pH,pH.mV,ORP
deels69,Lab2020eDNA,Northwest Brook by Roddickton,NOR,NOR20-1-N, , ,14-Oct-20,1000.0,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels70,Lab2020eDNA,Northwest Brook by Roddickton,NOR,NOR20-1-L,50.92449998,-56.11226203,14-Oct-20,,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels71,Lab2020eDNA,Northwest Brook by Roddickton,NOR,NOR20-1-C,50.92443402,-56.11223403,14-Oct-20,,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels72,Lab2020eDNA,Northwest Brook by Roddickton,NOR,NOR20-1-R,50.92445699,-56.11213203,14-Oct-20,,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels73,Lab2020eDNA,Rose's Brook,ROB,ROB20-1-N, , ,14-Oct-20,1000.0,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels74,Lab2020eDNA,Rose's Brook,ROB,ROB20-1-L,51.094689,-56.06777902,14-Oct-20,1000.0,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels75,Lab2020eDNA,Rose's Brook,ROB,ROB20-1-C,51.09475002,-56.06770702,14-Oct-20,1000.0,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels76,Lab2020eDNA,Rose's Brook,ROB,ROB20-1-R,51.09471397,-56.06786904,14-Oct-20,1000.0,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels77,Lab2020eDNA,Pinsent's River,PIR,PIR20-1-N, , ,14-Oct-20,1000.0,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels78,Lab2020eDNA,Pinsent's River,PIR,PIR20-1-L,51.49117104,-55.873414,14-Oct-20,,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels79,Lab2020eDNA,Pinsent's River,PIR,PIR20-1-C,51.49117104,-55.873414,14-Oct-20,,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels80,Lab2020eDNA,Pinsent's River,PIR,PIR20-1-R,51.49116199,-55.873414,14-Oct-20,,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels81,Lab2020eDNA,Green Island Brook,GIB,GIB20-1-N, , ,15-Oct-20,1000.0,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels82,Lab2020eDNA,Green Island Brook,GIB,GIB20-1-L,51.39533403,-56.529369,15-Oct-20,,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels83,Lab2020eDNA,Green Island Brook,GIB,GIB20-1-C,51.39551098,-56.52965399,15-Oct-20,,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels84,Lab2020eDNA,Green Island Brook,GIB,GIB20-1-R,51.39541701,-56.52949297,15-Oct-20,,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels85,Lab2020eDNA,Genevieve River,SGR,SGR20-1-N, , ,15-Oct-20,1000.0,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels86,Lab2020eDNA,Genevieve River,SGR,SGR20-1-L,51.137506,-56.795841,15-Oct-20,,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels87,Lab2020eDNA,Genevieve River,SGR,SGR20-1-C,,,15-Oct-20,,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
deels88,Lab2020eDNA,Genevieve River,SGR,SGR20-1-R,,,15-Oct-20,,Smith-root backpack,26 um,Tom Bird,eDNA,,,,,,,,,,,,,,,,,,,,
salmonid1,Lab2020Salmon,Barachois Pond,BAP,BAP20-1,48.48275,-58.26319,,,,,Ian Bradbury,eDNA,Car,Y,DFO,Salmonids,Steve Duffy,,,,,,,,,,,,,,,
salmonid2,Lab2020Salmon,Barry Brook,BBR,BBR20-1,48.3327,-58.6908,,,,,Ian Bradbury,eDNA,Car,N,DFO,Salmonids,Steve Duffy,,,,,,,,,,,,,,,
salmonid3,Lab2020Salmon,Barry's Brook,BAB,BAB20-1,49.2691,-54.4889,,,,,Ian Bradbury,eDNA,Car,N,DFO,Salmonids,Steve Duffy,,,,,,,,,,,,,,,
salmonid4,Lab2020Salmon,Bay Bulls River,BLR,BBR20-1,47.3166,-52.8136,,,,,Ian Bradbury,eDNA,Car,N,DFO,Salmonids,Steve Duffy,,,,,,,,,,,,,,,
salmonid5,Lab2020Salmon,Bay de Loup Brook,BLP,BLP20-1,47.6617,-57.5174,,,,,Ian Bradbury,Electrofishing/eDNA,Helicopter,N,DFO,Salmonids,Steve Duffy,,,,,,,,,,,,,,,
salmonid6,Lab2020Salmon,Bay du Nord River,BNR,BNR20-1,47.7278,-55.4373,,,,,Ian Bradbury,Electrofishing/eDNA,Car,N,DFO,Salmonids,Steve Duffy,,,,,,,,,,,,,,,
salmonid7,Lab2020Salmon,Bear Cove Brook,BCB,BCB20-1,47.6609,-59.309,,,,,Ian Bradbury,Electrofishing/eDNA,Car,N,DFO,Salmonids,Steve Duffy,,,,,,,,,,,,,,,
salmonid8,Lab2020Salmon,Big Salmonier Brook,BSB,BSB20-1,47.056740000000005,-55.22286999999999,,,,,Ian Bradbury,eDNA,Car,N,DFO,Salmonids,Steve Duffy,,,,,,,,,,,,,,,
salmonid9,Lab2020Salmon,Biscay Bay River,BSR,BSR20-1,46.7754,-53.2811,,,,,Ian Bradbury,eDNA,Car,N,DFO,Salmonids,Steve Duffy,,,,,,,,,,,,,,,
salmonid10,Lab2020Salmon,Black River (Placentia),BRP,BRP20-1,47.8823,-54.1676,,,,,Ian Bradbury,eDNA,Car,N,DFO,Salmonids,Steve Duffy,,,,,,,,,,,,,,,
salmonid11,Lab2020Salmon,Branch River,BRR,BRR20-1,46.8912,-53.979209999999995,,,,,Ian Bradbury,eDNA,Car,N,DFO,Salmonids,Steve Duffy,,,,,,,,,,,,,,,
salmonid12,Lab2020Salmon,Broad Cove Brook,BRB,BRB20-1,47.8393,-53.0973,,,,,Ian Bradbury,eDNA,Car,N,DFO,Salmonids,Steve Duffy,,,,,,,,,,,,,,,
salmonid13,Lab2020Salmon,Burnt Island River,BIR,BIR20-1,47.608999999999995,-58.8728,,,,,Ian Bradbury,Electrofishing/eDNA,Helicopter,N,DFO,Salmonids,Steve Duffy,,,,,,,,,,,,,,,
salmonid14,Lab2020Salmon,Burton's Pond,BPP,BPP20-1,47.57371,-52.72821999999999,,,,,Ian Bradbury,eDNA,Car,Y,DFO,Salmonids,Steve Duffy,,,,,,,,,,,,,,,
salmonid15,Lab2020Salmon,Campbellton,CBN,CBN20-1,49.2793,-54.9218,,,,,Ian Bradbury,eDNA,Car,N,DFO,Salmonids,Steve Duffy,,,,,,,,,,,,,,,
salmonid16,Lab2020Salmon,Cape Roger Brook,CRB,CRB20-1,47.4272,-54.7035,,,,,Ian Bradbury,eDNA,Car,N,DFO,Salmonids,Steve Duffy,,,,,,,,,,,,,,,
salmonid17,Lab2020Salmon,Cat Arm River,CAR,CAR20-1,50.1302,-56.7437,,,,,Ian Bradbury,eDNA,Car,N,DFO,Salmonids,Steve Duffy,,,,,,,,,,,,,,,
salmonid18,Lab2020Salmon,Chaleur Bay Bay,CBB,CBB20-1,47.660705,-56.772339,,,,,Ian Bradbury,Electrofishing/eDNA,Helicopter,N,DFO,Salmonids,Steve Duffy,,,,,,,,,,,,,,,
salmonid19,Lab2020Salmon,Cinq Cerf Brook,CCB,CCB20-1,47.6959,-58.1544,,,,,Ian Bradbury,Electrofishing/eDNA,Helicopter,N,DFO,Salmonids,Steve Duffy,,,,,,,,,,,,,,,
salmonid20,Lab2020Salmon,Cloud River,CRR,CRR20-1,50.8518,-56.2005,,,,,Ian Bradbury,eDNA,Car,N,DFO,Salmonids,Steve Duffy,,,,,,,,,,,,,,,
salmonid21,Lab2020Salmon,Come By Chance River,CBC,CBC20-1,47.96587,-53.9592,,,,,Ian Bradbury,eDNA,Car,N,DFO,Salmonids,Steve Duffy,,,,,,,,,,,,,,,
salmonid22,Lab2020Salmon,Conne River,COR,COR20-1,47.9112,-55.695,,,,,Ian Bradbury,Electrofishing/eDNA,Car,N,DFO,Salmonids,Steve Duffy,,,,,,,,,,,,,,,
salmonid23,Lab2020Salmon,Connoire Brook,COB,COB20-1,47.7501,-57.9091,,,,,Ian Bradbury,Electrofishing/eDNA,Helicopter,N,DFO,Salmonids,Steve Duffy,,,,,,,,,,,,,,,
salmonid24,Lab2020Salmon,Cooks Brook,CBR,CBR20-1,48.974,-58.0656,,,,,Ian Bradbury,eDNA,Car,N,DFO,Salmonids,Steve Duffy,,,,,,,,,,,,,,,
salmonid25,Lab2020Salmon,Couteau Brook,CTB,CTB20-1,47.7398,-58.0278,,,,,Ian Bradbury,Electrofishing/eDNA,Helicopter,N,DFO,Salmonids,Steve Duffy,,,,,,,,,,,,,,,
salmonid26,Lab2020Salmon,Cow Head Pond,CHP,CHP20-1,49.90396,-57.77584,,,,,Ian Bradbury,eDNA,Car,Y,DFO,Salmonids,Steve Duffy,,,,,,,,,,,,,,,
salmonid27,Lab2020Salmon,Crossing Place River,CPR,CPR20-1,46.9371,-53.4581,,,,,Ian Bradbury,eDNA,Car,N,DFO,Salmonids,Steve Duffy,,,,,,,,,,,,,,,
salmonid28,Lab2020Salmon,Cuslett Brook,CUR,CUR20-1,46.962559999999996,-54.153999999999996,,,,,Ian Bradbury,eDNA,Car,N,DFO,Salmonids,Steve Duffy,,,,,,,,,,,,,,,
salmonid29,Lab2020Salmon,Deer Harbour River,DHR,DHR20-1,47.9068,-53.8103,,,,,Ian Bradbury,eDNA,Car,N,DFO,Salmonids,Steve Duffy,,,,,,,,,,,,,,,
salmonid30,Lab2020Salmon,Devil Bay Brook,DBB,DBB20-1,47.663589,-56.631420999999996,,,,,Ian Bradbury,Electrofishing/eDNA,Helicopter,N,DFO,Salmonids,Steve Duffy,,,,,,,,,,,,,,,
salmonid31,Lab2020Salmon,East Bay Brook,EBB,EBB20-1,47.7672,-58.2494,,,,,Ian Bradbury,Electrofishing/eDNA,Helicopter,N,DFO,Salmonids,Steve Duffy,,,,,,,,,,,,,,,
salmonid32,Lab2020Salmon,Fair Haven Brook,FHB,FHB20-1,47.542320000000004,-53.891000000000005,,,,,Ian Bradbury,eDNA,Car,N,DFO,Salmonids,Steve Duffy,,,,,,,,,,,,,,,
salmonid33,Lab2020Salmon,Farmers Brook,FBB,FBB20-1,47.6641,-58.5008,,,,,Ian Bradbury,Electrofishing/eDNA,Helicopter,N,DFO,Salmonids,Steve Duffy,,,,,,,,,,,,,,,
salmonid34,Lab2020Salmon,First Pond - Off Southwest Brook,FPS,FPS20-1,48.522459999999995,-58.24964,,,,,Ian Bradbury,Trapping/eDNA,Car,Y,DFO,Salmonids,Steve Duffy,,,,,,,,,,,,,,,
salmonid35,Lab2020Salmon,Garia Brook,GBR,GBR20-1,47.7279,-58.5381,,,,,Ian Bradbury,Electrofishing/eDNA,Helicopter,N,DFO,Salmonids,Steve Duffy,,,,,,,,,,,,,,,
salmonid36,Lab2020Salmon,Garnish River,GHR,GHR20-1,47.2282,-55.3455,,,,,Ian Bradbury,Electrofishing/eDNA/Trapping,Car,Y,DFO,Salmonids,Steve Duffy,,,,,,,,,,,,,,,
salmonid37,Lab2020Salmon,Grand Bank Brook,GDB,GDB20-1,47.1011,-55.7507,,,,,Ian Bradbury,Electrofishing/eDNA,Car,N,DFO,Salmonids,Steve Duffy,,,,,,,,,,,,,,,
salmonid38,Lab2020Salmon,Grand Bay River,GRB,GRB20-1,47.6019,-59.1563,,,,,Ian Bradbury,Electrofishing/eDNA,Helicopter,N,DFO,Salmonids,Steve Duffy,,,,,,,,,,,,,,,
salmonid39,Lab2020Salmon,Grand Codroy River,GCR,GCR20-1,47.841,-59.2032,,,,,Ian Bradbury,Electrofishing/eDNA,Car,N,DFO,Salmonids,Steve Duffy,,,,,,,,,,,,,,,
salmonid40,Lab2020Salmon,"Grand Pond, Plum Point",GPP,GPP20-1,51.087340000000005,-56.861540000000005,,,,,Ian Bradbury,eDNA,Car,Y,DFO,Salmonids,Steve Duffy,,,,,,,,,,,,,,,
salmonid41,Lab2020Salmon,Grandy Brook,GYB,GYB20-1,47.6441,-57.6731,,,,,Ian Bradbury,Electrofishing/eDNA,Helicopter,N,DFO,Salmonids,Steve Duffy,,,,,,,,,,,,,,,
salmonid42,Lab2020Salmon,Grandys Brook,GSB,GSB20-1,47.6217,-58.8431,,,,,Ian Bradbury,Electrofishing/eDNA,Helicopter,N,DFO,Salmonids,Steve Duffy,,,,,,,,,,,,,,,
salmonid43,Lab2020Salmon,Great Barasway Brook,GBB,GBB20-1,47.1276,-54.0697,,,,,Ian Bradbury,eDNA,Car,N,DFO,Salmonids,Steve Duffy,,,,,,,,,,,,,,,
