,GroupId,Group,Group_Full_Name,Region,Type,ENGO caucus participant,CNLCOM participant,DFO project involvement,Website,About
21,group21,PBCMA,Placentia Bay CMA,Eastern,ENGO,Y,,,,
22,group22,QLF,Quebec Labrador Foundation,Quebec,ENGO,,,,https://www.qlf.org/,
23,group23,Intervale,Intervale,Atlatic Region,ENGO,Y,,,http://intervale.ca/,"We are experienced in community-based research and program development, having applied this approach over many years to conservation projects in rural areas of Canada and internationally. In collaboration with other organizations and rural communities, we have demonstrated the effectiveness of community-based approaches in achieving conservation objectives while providing benefits to rural communities. Our approach is inspired from years of work with people in the Atlantic and Gulf of St. Lawrence regions of Canada."
24,group24,RHRCG,Ragged Harbour River Conservation Group,Central,ENGO,,,,https://opencorporates.com/companies/ca_nl/52633,
25,group25,STRACC,Salmon & Trout Restoration Association of Conception Bay Central Inc. (STRACC),Eastern,ENGO,,,,https://www.facebook.com/STRACC/,
26,group26,SPAWN,Salmon Preservation Asociation for Water of Newfoundland - SPAWN,Western,ENGO,,,,https://spawn1.ca/index.php/about-us/,
27,group27,SAEN,Salmonid Association of Eastern Newfoundland,Eastern,ENGO,,,,https://www.saen.org/,"The Salmonid Association of Eastern Newfoundland (SAEN) is a conservation group dedicated to the preservation of our province's salmon, trout and other freshwater resources. Since 1979 this group of volunteers has carried out conservation, research, education, and enhancement projects worth over $10 million."
28,group28,SCNL,Salmonid Council of Newfoundland and Labrador,Eastern,ENGO,,,,,
29,group29,SAM,Stewardship Association of Municipalities,Eastern,ENGO,Y,,,https://www.samnl.org/,"SAM works with the Eastern Habitat Joint Venture in NL to secure, enhance, & restore important wildlife habitat (wetlands, uplands, coastal areas, & species at risk habitat) within municipal planning boundaries. As a network of communities who practice environmental stewardship across NL, SAM contributes"
30,group30,TS,Torngat Secretariat,Labrador,ENGO,,,,https://www.torngatsecretariat.ca/home/,
31,group31,WEC,Western Environment Centre (WEC),Western,ENGO,,,,https://www.wecnl.ca/,
32,group32,CC,Conservation Corps,Eastern,ENGO,Y,,,https://www.ccnl.ca/,"To help young people gain leadership, teamwork and employment skills.To work with communities and partners to enhance, restore and sustainably develop the natural and cultural resources of the province. To develop and promote a strong conservation ethic in Newfoundland and Labrador."
33,group33,WWFC,WWF Canada,Eastern,ENGO,Y,,"Coastal Restoration Fund Projects  (R. Van Ingen),4R data meeting Feb 2019",https://wwf.ca/,
34,group34,ECCM,"Environment, Climate Change, and Municipalities (Water Resources Management Division)",Eastern,Government,,Y,,https://www.gov.nl.ca/eccm/,
35,group35,FFA,Fishery Forestry and Agriculture (Sustainable Fisheries and Oceans Policy),Eastern,Government,,Y,4R data meeting Feb 2019,https://www.gov.nl.ca/ffa/,
36,group36,MUNGC,Memorial University of Newfoundland - Grenfell Campus,Western,Academia,,,,https://www.grenfell.mun.ca/Pages/home.aspx,
37,group37,MI,Marine Institute,Eastern,Academia,,,4R data meeting Feb 2019,https://www.mi.mun.ca/departments/centreforfisheriesecosystemsresearch/,
38,group38,MUN,Memorial University of Newfoundland,Eastern,Academia,,,,http://www.ucs.mun.ca/~cfpurchase/,
39,group39,MUN-Geography,"Department of Geography, Memorial University",Eastern,Indigenous,,,,https://www.mun.ca/geog/people/faculty/mlib.php,
40,group40,NunatuKavut ,NunatuKavut Community Council,Labrador,Indigenous,Y,,Aquatic Connectivity Assessment (R. Van Ingen),https://nunatukavut.ca/,
41,group41,Nunatsiavut,Nunatsiavut Government,Labrador,Indigenous,,,MPC (J. Janes),https://www.nunatsiavut.com/,
42,group42,Innu,Innu Nation,Labrador,Indigenous,,,,https://www.innu.ca/,
43,group43,Qalipu,Qalipu ,Western,Indigenous,,,"Aquatic Connectivity Assessment (R. Van Ingen),4R data meeting Feb 2019",http://qalipu.ca/,
44,group44,MFN,Miawpukek First Nation,Central,Indigenous,,,Aquatic Connectivity Assessment (R. Van Ingen),http://www.mfngov.ca/,
45,group45,MAMKA,MAMKA,Central,Indigenous,,,,https://mamka.ca/,
46,group46,DFO,,,,,,,,
47,group47,BSGS,,,,,,,,
48,group48,GBIBC,,,,,,,,
49,group49,Glenwood FN,,,,,,,,
50,group50,Humber Arm,,,,,,,,
51,group51,Inrervale W,,,,,,,,
52,group52,Intervale NP,,,,,,,,
53,group53,NAACAP,,,,,,,,
